,beneficio %,rutas
0,0.001525250000056211,"['EUR', 'HTG', 'EUR']"
1,0.5014421506834177,"['EUR', 'ZAR', 'AED', 'CRC', 'EUR']"
2,0.004063999999992518,"['EUR', 'GIP', 'EUR']"
3,0.002303999999986317,"['EUR', 'PAB', 'EUR']"
4,0.01137449939998536,"['EUR', 'HKD', 'SEK', 'EUR']"
5,0.03329217999996636,"['EUR', 'CRC', 'EUR']"
6,0.0002023999999822834,"['EUR', 'SCR', 'EUR']"
7,0.007126880000019042,"['EUR', 'KES', 'EUR']"
8,0.2357292584060255,"['EUR', 'BND', 'PKR', 'EUR']"
9,0.007919200000006121,"['EUR', 'MKD', 'EUR']"
10,0.008823000000002246,"['EUR', 'AOA', 'EUR']"
11,1.111749825103914,"['EUR', 'SAR', 'TMT', 'SDG', 'EUR']"
12,10.57851096723201,"['EUR', 'GHS', 'NGN', 'EUR']"
13,0.000299554999960705,"['EUR', 'BIF', 'EUR']"
14,2.583367879199994,"['EUR', 'ZMW', 'TOP', 'EUR']"
15,0.1028503340935849,"['EUR', 'UGX', 'MVR', 'EUR']"
16,0.007149014912033458,"['EUR', 'FOK', 'KES', 'EUR']"
17,0.2255398721499935,"['EUR', 'BWP', 'KZT', 'EUR']"
18,0.0498740000000053,"['EUR', 'RUB', 'EUR']"
19,0.4640363490399757,"['EUR', 'AZN', 'ZWL', 'EUR']"
20,0.2870667509599523,"['EUR', 'UGX', 'DOP', 'EUR']"
21,0.001150000000005313,"['EUR', 'JOD', 'EUR']"
22,0.0006139999999987822,"['EUR', 'CAD', 'EUR']"
23,2.53458836960001,"['EUR', 'BWP', 'SBD', 'EUR']"
24,0.002186632400014155,"['EUR', 'IQD', 'EUR']"
25,0.007051870000029936,"['EUR', 'JPY', 'EUR']"
26,0.3652335712064136,"['EUR', 'TZS', 'KES', 'EUR']"
27,0.006674000000006508,"['EUR', 'AWG', 'EUR']"
28,0.005621044250037066,"['EUR', 'MZN', 'XCD', 'EUR']"
29,8.920772462600013,"['EUR', 'GHS', 'TTD', 'EUR']"
30,0.00149092079995139,"['EUR', 'MGA', 'EUR']"
31,0.01868000000004866,"['EUR', 'AFN', 'EUR']"
32,0.1206668000000022,"['EUR', 'MAD', 'EUR']"
33,0.01447399999998655,"['EUR', 'KWD', 'EUR']"
34,0.002070599999992595,"['EUR', 'TRY', 'EUR']"
35,0.01509699999999725,"['EUR', 'RON', 'EUR']"
36,0.00627194799991404,"['EUR', 'UZS', 'EUR']"
37,10.19189739934954,"['EUR', 'GHS', 'IRR', 'EUR']"
38,0.01745248000000199,"['EUR', 'LKR', 'EUR']"
39,0.01065954299996896,"['EUR', 'VND', 'EUR']"
40,0.008094899999999683,"['EUR', 'EGP', 'EUR']"
41,0.3102007191680745,"['EUR', 'VUV', 'FKP', 'EUR']"
42,0.005637919999967878,"['EUR', 'RSD', 'EUR']"
43,1.099351680950034,"['EUR', 'TTD', 'HTG', 'EUR']"
44,0.009389999999998011,"['EUR', 'AUD', 'EUR']"
45,2.730919264160026,"['EUR', 'BDT', 'GEL', 'EUR']"
46,0.04121599999999948,"['EUR', 'SBD', 'EUR']"
47,0.305371204500049,"['EUR', 'LRD', 'LSL', 'EUR']"
48,0.01884620000003334,"['EUR', 'PHP', 'EUR']"
49,1.16960247279998,"['EUR', 'TTD', 'FJD', 'EUR']"
50,0.003752749999996752,"['EUR', 'DZD', 'EUR']"
51,0.02735000000002596,"['EUR', 'BTN', 'EUR']"
52,0.009556159999979386,"['EUR', 'CLP', 'EUR']"
53,0.002788499999994976,"['EUR', 'SEK', 'EUR']"
54,0.3867407807600198,"['EUR', 'BRL', 'HUF', 'EUR']"
55,0.2027376280000048,"['EUR', 'FJD', 'BSD', 'EUR']"
56,0.634072113399986,"['EUR', 'CNY', 'TOP', 'EUR']"
57,0.004828000000034471,"['EUR', 'KZT', 'EUR']"
58,0.01586020000006183,"['EUR', 'HUF', 'EUR']"
59,0.0007911759999368329,"['EUR', 'SYP', 'EUR']"
60,0.4455481506399961,"['EUR', 'MZN', 'SOS', 'EUR']"
61,0.02531919999995136,"['EUR', 'DOP', 'EUR']"
62,0.006243400000016663,"['EUR', 'GMD', 'EUR']"
63,7.842007935200024,"['EUR', 'SSP', 'KZT', 'EUR']"
64,0.02428488799997019,"['EUR', 'HRK', 'SHP', 'EUR']"
65,0.270966208399992,"['EUR', 'MRU', 'PHP', 'EUR']"
66,0.009454999999980451,"['EUR', 'XDR', 'EUR']"
67,0.7778717394079537,"['EUR', 'TZS', 'SDG', 'EUR']"
68,0.001162404000099038,"['EUR', 'KHR', 'EUR']"
69,0.2579113871254535,"['EUR', 'TWD', 'UGX', 'EUR']"
70,0.002332057099874163,"['EUR', 'GNF', 'EUR']"
71,0.004435099999966496,"['EUR', 'CZK', 'EUR']"
72,0.04512142232000471,"['EUR', 'NAD', 'GBP', 'EUR']"
73,0.2390885979391966,"['EUR', 'UGX', 'MXN', 'EUR']"
74,0.0218583900000402,"['EUR', 'AMD', 'EUR']"
75,0.2864040289999759,"['EUR', 'SDG', 'PLN', 'EUR']"
76,0.8818654681909122,"['EUR', 'TZS', 'IQD', 'EUR']"
77,0.1453115939999972,"['EUR', 'FJD', 'HKD', 'EUR']"
78,2.871397200145998,"['EUR', 'SOS', 'MAD', 'EUR']"
79,0.630734172590941,"['EUR', 'TZS', 'BHD', 'EUR']"
80,5.400000000488347e-05,"['EUR', 'BAM', 'EUR']"
81,0.088128800216003,"['EUR', 'SGD', 'KGS', 'EUR']"
82,0.01195099999999893,"['EUR', 'ILS', 'EUR']"
83,0.02048159999998855,"['EUR', 'UYU', 'EUR']"
84,0.4254891349953382,"['EUR', 'SAR', 'IRR', 'KHR', 'EUR']"
85,0.02512876720000001,"['EUR', 'HKD', 'BSD', 'EUR']"
86,0.09735554311998129,"['EUR', 'NAD', 'STN', 'EUR']"
87,2.32499277910001,"['EUR', 'ZMW', 'GYD', 'EUR']"
88,0.006250000000007638,"['EUR', 'NZD', 'EUR']"
89,0.03065244139366374,"['EUR', 'SLL', 'CNY', 'KYD', 'EUR']"
90,0.9011788569199597,"['EUR', 'MZN', 'RSD', 'EUR']"
91,0.06335543160000956,"['EUR', 'MXN', 'HKD', 'EUR']"
92,1.004818080320002,"['EUR', 'TZS', 'YER', 'EUR']"
93,0.0003888094000759068,"['EUR', 'MMK', 'EUR']"
94,0.0174509799999889,"['EUR', 'NGN', 'EUR']"
95,1.473307047429406,"['EUR', 'PEN', 'IDR', 'EUR']"
96,0.002304000000008521,"['EUR', 'BZD', 'EUR']"
97,0.4072819997799959,"['EUR', 'MRU', 'EGP', 'EUR']"
98,0.01705373999998372,"['EUR', 'KMF', 'EUR']"
99,0.02010319999994348,"['EUR', 'MWK', 'EUR']"
100,0.00319136149999899,"['EUR', 'KRW', 'EUR']"
101,0.01453597650005189,"['EUR', 'COP', 'EUR']"
102,0.04399999999997739,"['EUR', 'MOP', 'EUR']"
103,0.2991977195840434,"['EUR', 'YER', 'SZL', 'EUR']"
104,0.6144023460159742,"['EUR', 'LBP', 'CLP', 'EUR']"
105,0.001931999999982281,"['EUR', 'PGK', 'EUR']"
106,0.006051600000001045,"['EUR', 'VUV', 'FOK']"
107,0.5181779250000407,"['EUR', 'LRD', 'WST', 'EUR']"
108,0.001055000000005357,"['EUR', 'GHS', 'BDT']"
109,0.116040322000055,"['EUR', 'GBP', 'AFN', 'EUR']"
110,0.5328499999999847,"['EUR', 'BYN', 'EUR']"
111,0.001112900000022066,"['EUR', 'UAH', 'EUR']"
112,0.2933251018799821,"['EUR', 'CNY', 'BDT', 'IMP', 'EUR']"
113,0.04941399089988252,"['EUR', 'IDR', 'EUR']"
114,0.06106266944001515,"['EUR', 'LSL', 'CAD', 'EUR']"
115,0.496271220799982,"['EUR', 'AZN', 'DOP', 'EUR']"
116,0.004370283152077548,"['EUR', 'SOS', 'IMP', 'EUR']"
117,0.4029235596799907,"['EUR', 'SSP', 'GTQ', 'EUR']"
118,0.5950575805000247,"['EUR', 'MZN', 'XDR', 'EUR']"
119,0.07863191763197719,"['EUR', 'NAD', 'SOS', 'EUR']"
120,0.001651400000013403,"['EUR', 'SRD', 'EUR']"
121,0.2936875532000061,"['EUR', 'TOP', 'CAD', 'EUR']"
122,0.01181599999999783,"['EUR', 'MUR', 'EUR']"
123,0.0003295906999989384,"['EUR', 'GYD', 'BGN', 'EUR']"
124,0.0760102100000104,"['EUR', 'LSL', 'HRK', 'EUR']"
125,0.06993900000000774,"['EUR', 'TND', 'EUR']"
126,0.5281901879968132,"['EUR', 'UGX', 'NAD', 'EUR']"
127,0.001389672800056196,"['EUR', 'CDF', 'EUR']"
128,0.001244304500103155,"['EUR', 'MZN', 'DJF', 'EUR']"
129,0.711268473796256,"['EUR', 'PLN', 'MMK', 'EUR']"
130,0.09732061445999474,"['EUR', 'PEN', 'LSL', 'EUR']"
131,0.3076232036500537,"['EUR', 'MZN', 'TRY', 'EUR']"
132,0.006874499999942607,"['EUR', 'ZWL', 'EUR']"
133,0.07798522463000612,"['EUR', 'DJF', 'AZN', 'EUR']"
134,0.371145905440029,"['EUR', 'JMD', 'UAH', 'EUR']"
135,0.00833349478397416,"['EUR', 'ZMW', 'SSP', 'EUR']"
136,0.000454400000005073,"['EUR', 'HNL', 'EUR']"
137,0.09549970783995221,"['EUR', 'THB', 'TRY', 'EUR']"
138,0.438301372855987,"['EUR', 'GBP', 'BRL', 'PGK', 'EUR']"
139,0.00310529234881507,"['EUR', 'SOS', 'IQD', 'EUR']"
140,0.4910809620870982,"['EUR', 'IRR', 'HNL', 'EUR']"
141,0.1107854909999872,"['EUR', 'CNY', 'AUD', 'EUR']"
142,0.2259780509599407,"['EUR', 'ARS', 'WST', 'EUR']"
143,0.01864340240003148,"['EUR', 'FOK', 'KYD', 'EUR']"
144,0.002215558790763517,"['EUR', 'TZS', 'BGN', 'EUR']"
145,0.5406223246499753,"['EUR', 'MZN', 'NAD', 'EUR']"
146,0.3983733555199986,"['EUR', 'CUP', 'UYU', 'EUR']"
147,0.00337308949989179,"['EUR', 'PYG', 'EUR']"
148,0.009000000000014552,"['EUR', 'STN', 'EUR']"
149,0.9430012199999949,"['EUR', 'ALL', 'VUV', 'EUR']"
150,0.00215660000000284,"['EUR', 'DKK', 'CVE']"
151,0.926781802903287,"['EUR', 'FJD', 'TOP', 'VES', 'EUR']"
152,0.362326236560051,"['EUR', 'XCD', 'PKR', 'EUR']"
153,1.653193027400057,"['EUR', 'SOS', 'VUV', 'EUR']"
154,0.2961008980983948,"['EUR', 'BDT', 'SGD', 'UAH', 'EUR']"
155,0.01896628912843035,"['EUR', 'ARS', 'COP', 'EUR']"
156,10.43484627980003,"['EUR', 'GHS', 'GYD', 'EUR']"
157,2.345056569079995,"['EUR', 'ZMW', 'NIO', 'EUR']"
158,0.008695999999996928,"['EUR', 'CVE', 'NIO']"
159,0.5518344577235323,"['EUR', 'FOK', 'UGX', 'KWD', 'EUR']"
160,2.410602947400675,"['EUR', 'GBP', 'LRD', 'MAD', 'EUR']"
161,0.4045266785001278,"['EUR', 'LRD', 'ISK', 'EUR']"
162,0.1196365443199898,"['EUR', 'NIO', 'BZD', 'EUR']"
163,0.02856559968995587,"['EUR', 'HKD', 'GMD', 'EUR']"
164,0.4623193464800446,"['EUR', 'TWD', 'MKD', 'EUR']"
165,0.007722747305316524,"['EUR', 'DKK', 'DJF', 'USD', 'EUR']"
166,0.2301126635599893,"['EUR', 'CNY', 'KGS', 'EUR']"
167,1.565127025300006,"['EUR', 'TTD', 'SZL', 'EUR']"
168,0.1880319127159691,"['EUR', 'ALL', 'XCD', 'NGN', 'EUR']"
169,0.02600532625998131,"['EUR', 'ISK', 'STN', 'EUR']"
170,0.3784362987120371,"['EUR', 'MXN', 'KGS', 'EUR']"
171,0.02459182434710883,"['EUR', 'HKD', 'GNF', 'EUR']"
172,0.08359774259998343,"['EUR', 'GBP', 'NIO', 'EUR']"
173,7.551632240947082,"['EUR', 'JMD', 'TJS', 'CHF', 'CVE', 'EUR']"
174,0.001314385280015706,"['EUR', 'DKK', 'HNL', 'EUR']"
175,0.1441098980000222,"['EUR', 'GEL', 'PLN', 'EUR']"
176,0.2082765816202814,"['EUR', 'IRR', 'MRU', 'EUR']"
177,0.06604127778417901,"['EUR', 'VES', 'IRR', 'EUR']"
178,0.01726322840001071,"['EUR', 'FOK', 'RON', 'EUR']"
179,4.653851259952724,"['EUR', 'SLL', 'TND', 'EUR']"
180,0.03335299999998043,"['EUR', 'BOB', 'EUR']"
181,0.005171698847084016,"['EUR', 'YER', 'BGN', 'EUR']"
182,0.1513302888560553,"['EUR', 'MXN', 'DJF', 'EUR']"
183,0.01851460999997556,"['EUR', 'CVE', 'ILS', 'EUR']"
184,0.9820018408766895,"['EUR', 'SLL', 'COP', 'EUR']"
185,0.008631000000014488,"['EUR', 'WST', 'EUR']"
186,1.591799724799969,"['EUR', 'TTD', 'SAR', 'EUR']"
187,0.1407933191600153,"['EUR', 'FOK', 'MXN', 'TVD']"
188,0.002544000000015423,"['EUR', 'MYR', 'EUR']"
