,beneficio %,rutas
0,0.1542627604399938,"['EUR', 'HTG', 'SCR', 'EUR']"
1,0.577381999999993,"['EUR', 'BYN', 'EUR']"
2,0.006495000000006357,"['EUR', 'SGD', 'EUR']"
3,0.01234737779995942,"['EUR', 'PYG', 'EUR']"
4,0.4171805340787094,"['EUR', 'KWD', 'IDR', 'EUR']"
5,0.0001713503000599914,"['EUR', 'UGX', 'EUR']"
6,0.001318099999969569,"['EUR', 'LSL', 'EUR']"
7,0.001944200000014717,"['EUR', 'ZAR', 'EUR']"
8,0.08282506342403018,"['EUR', 'HTG', 'SOS', 'EUR']"
9,0.004322000000001047,"['EUR', 'IMP', 'EUR']"
10,0.01860115300014176,"['EUR', 'IRR', 'EUR']"
11,0.009707400000058541,"['EUR', 'ETB', 'EUR']"
12,1.237337389073567,"['EUR', 'BWP', 'IDR', 'EUR']"
13,0.1462564000000111,"['EUR', 'MAD', 'EUR']"
14,0.0004000000000115023,"['EUR', 'WST', 'EUR']"
15,0.01472120000001187,"['EUR', 'PHP', 'EUR']"
16,5.400000000488347e-05,"['EUR', 'BAM', 'EUR']"
17,0.4684527919999848,"['EUR', 'AZN', 'TJS', 'EUR']"
18,0.01033400000001183,"['EUR', 'BHD', 'EUR']"
19,0.0004623421999472299,"['EUR', 'MMK', 'EUR']"
20,0.145908511999826,"['EUR', 'LAK', 'EUR']"
21,0.008120000000011451,"['EUR', 'XCD', 'EUR']"
22,0.02936799799999612,"['EUR', 'AZN', 'FKP', 'EUR']"
23,0.1745324847080454,"['EUR', 'LBP', 'BDT', 'EUR']"
24,0.01066263935001199,"['EUR', 'CVE', 'OMR', 'EUR']"
25,0.03845800000001898,"['EUR', 'GHS', 'EUR']"
26,0.006400000000028605,"['EUR', 'TMT', 'EUR']"
27,0.7680417560000041,"['EUR', 'UAH', 'NIO', 'EUR']"
28,0.07456517000001828,"['EUR', 'IDR', 'EUR']"
29,0.02209600000000478,"['EUR', 'TTD', 'EUR']"
30,0.0005551999999964252,"['EUR', 'ALL', 'EUR']"
31,0.0003028751999423207,"['EUR', 'SYP', 'EUR']"
32,0.01118281827430234,"['EUR', 'NPR', 'LBP', 'EUR']"
33,0.003843999999997294,"['EUR', 'AUD', 'EUR']"
34,0.101137444639976,"['EUR', 'BSD', 'PHP', 'EUR']"
35,0.00691679413999946,"['EUR', 'MRU', 'FKP', 'EUR']"
36,0.01705373999998372,"['EUR', 'KMF', 'EUR']"
37,0.02433319999999295,"['EUR', 'MZN', 'EUR']"
38,0.9565743633499713,"['EUR', 'AFN', 'PEN', 'EUR']"
39,0.0008440738999970776,"['EUR', 'IQD', 'EUR']"
40,0.002264000000007371,"['EUR', 'CHF', 'EUR']"
41,0.02644999999998898,"['EUR', 'CNY', 'EUR']"
42,0.007730900000013641,"['EUR', 'XOF', 'AED']"
43,1.000386340280013,"['EUR', 'KYD', 'NGN', 'EUR']"
44,0.04231999999999569,"['EUR', 'TND', 'EUR']"
45,0.04032729999989826,"['EUR', 'BTN', 'EUR']"
46,0.03087999999997759,"['EUR', 'NOK', 'EUR']"
47,0.01406000000001573,"['EUR', 'NIO', 'EUR']"
48,0.02366555999995246,"['EUR', 'KZT', 'EUR']"
49,0.006499999999998174,"['EUR', 'XDR', 'EUR']"
50,0.4817993208919846,"['EUR', 'MDL', 'KGS', 'EUR']"
51,0.04116239999993887,"['EUR', 'INR', 'EUR']"
52,0.007400280000013915,"['EUR', 'VUV', 'EUR']"
53,0.9891447844400103,"['EUR', 'GMD', 'BDT', 'EUR']"
54,0.007569000000007264,"['EUR', 'JOD', 'EUR']"
55,0.004391000000003586,"['EUR', 'BSD', 'PEN']"
56,0.006827250000007723,"['EUR', 'LRD', 'EUR']"
57,0.0001353000000037241,"['EUR', 'CUP', 'EUR']"
58,0.005444000000021099,"['EUR', 'BRL', 'EUR']"
59,0.002830400000020106,"['EUR', 'TJS', 'EUR']"
60,0.002941999999994671,"['EUR', 'ANG', 'EUR']"
61,0.02060494999998053,"['EUR', 'MWK', 'EUR']"
62,0.01912402162003168,"['EUR', 'CZK', 'BBD', 'EUR']"
63,0.01294730000001021,"['EUR', 'HNL', 'EUR']"
64,0.01682600000003642,"['EUR', 'HKD', 'EUR']"
65,1.061641004726877,"['EUR', 'NPR', 'MMK', 'EUR']"
66,0.005054660000025635,"['EUR', 'JMD', 'EUR']"
67,0.006024800000026254,"['EUR', 'BDT', 'EUR']"
68,0.597820606399968,"['EUR', 'SSP', 'BOB', 'EUR']"
69,0.002833999999984904,"['EUR', 'MYR', 'EUR']"
70,0.003082200000026347,"['EUR', 'MUR', 'EUR']"
71,0.02682997999994274,"['EUR', 'CRC', 'EUR']"
72,0.0267367309599198,"['EUR', 'RSD', 'AZN', 'EUR']"
73,1.002175579951947,"['EUR', 'BZD', 'NGN', 'EUR']"
74,0.02688293000001618,"['EUR', 'XOF', 'BOB', 'EUR']"
75,1.117156337449976,"['EUR', 'AFN', 'NAD', 'EUR']"
76,0.03851835822206162,"['EUR', 'UAH', 'NPR', 'EUR']"
77,0.01259030000007044,"['EUR', 'YER', 'EUR']"
78,10.37662963999999,"['EUR', 'ZMW', 'BYN', 'EUR']"
79,0.01930259949984858,"['EUR', 'VND', 'EUR']"
80,0.0005709250000318633,"['EUR', 'KHR', 'EUR']"
81,0.01218000000000607,"['EUR', 'RON', 'EUR']"
82,0.01509339999998804,"['EUR', 'TWD', 'EUR']"
83,0.06972250011498815,"['EUR', 'RSD', 'YER', 'EUR']"
84,0.8750079679999967,"['EUR', 'FJD', 'SBD', 'EUR']"
85,0.001840669999952915,"['EUR', 'JPY', 'EUR']"
86,0.02706127013598625,"['EUR', 'DKK', 'CRC', 'EUR']"
87,0.009000000000014552,"['EUR', 'STN', 'EUR']"
88,0.008939211405056824,"['EUR', 'LBP', 'GGP', 'EUR']"
89,0.277595328319924,"['EUR', 'MDL', 'PHP', 'EUR']"
90,0.01406463999999996,"['EUR', 'LKR', 'EUR']"
91,0.02028400257998442,"['EUR', 'XOF', 'SHP', 'EUR']"
92,0.1597734853799881,"['EUR', 'KGS', 'HKD', 'EUR']"
93,0.004449999999978083,"['EUR', 'GEL', 'EUR']"
94,0.02176729999996407,"['EUR', 'NGN', 'EUR']"
95,0.001229745999942189,"['EUR', 'TZS', 'EUR']"
96,0.02996491100002441,"['EUR', 'LYD', 'NIO', 'EUR']"
97,0.002839999999992848,"['EUR', 'MOP', 'EUR']"
98,3.11640794000001,"['EUR', 'ZMW', 'SBD', 'EUR']"
99,0.02072968000002007,"['EUR', 'SOS', 'EUR']"
100,0.01610105000000583,"['EUR', 'AMD', 'EUR']"
101,9.148283353999997,"['EUR', 'LYD', 'BYN', 'EUR']"
102,0.001369999999978333,"['EUR', 'HRK', 'ZWL']"
103,0.05882307785993746,"['EUR', 'ARS', 'MDL', 'EUR']"
104,0.01375799999998595,"['EUR', 'EGP', 'EUR']"
105,0.09469049999994983,"['EUR', 'RUB', 'EUR']"
106,0.0002160000000639428,"['EUR', 'XPF', 'EUR']"
107,0.7539783577699799,"['EUR', 'UAH', 'SCR', 'EUR']"
108,0.00286400000000242,"['EUR', 'GTQ', 'BOB']"
109,0.2769388601600697,"['EUR', 'SSP', 'NZD', 'EUR']"
110,0.1653114800000077,"['EUR', 'ZMW', 'MOP', 'EUR']"
111,0.1714121400800295,"['EUR', 'BZD', 'BDT', 'EUR']"
112,0.007594999999982477,"['EUR', 'MKD', 'EUR']"
113,0.00398447000005131,"['EUR', 'KES', 'EUR']"
