,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,FOK,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KID,KMF,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STN,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TVD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XCD,XDR,XOF,XPF,YER,ZAR,ZMW,ZWL
AED,1.0,24.1594,30.7124,122.2037,0.4874,114.7364,32.5455,0.3788,0.4874,0.462,0.4949,0.5446,23.9459,0.4949,0.1024,548.5147,0.2723,0.3723,1.8669,1.286,0.2723,21.0915,3.2836,0.7651,0.5446,0.345,544.6131,0.2609,224.7476,1.8164,1068.0548,184.3325,6.5351,27.9023,6.2562,48.3924,1.8878,15.0123,39.6244,5.0631,4.0844,14.088,0.253,0.5848,0.2154,1.8878,0.2154,0.8061,0.2154,2.213,0.2154,14.7192,2402.83,2.0854,56.9264,2.138,6.6699,1.9066,30.5441,99.621,3943.7505,0.9096,0.2154,21.0918,397.0744,11438.729,34.7599,0.2154,41.8827,0.1931,34.7244,31.9175,22.4003,1104.9841,0.3788,124.4911,337.2923,0.08159,0.2269,116.3671,4039.5081,410.4833,97.2249,41.2414,4.2182,1.2972,2.6396,5.1799,1086.6474,15.6838,498.8674,854.1447,2.2021,9.9252,11.7174,4.1915,279.0609,5.3179,1.1884,17.5349,4.2182,112.9878,9.7331,2.5641,33.7464,0.4158,0.1047,0.2723,1.0011,0.9596,14.2346,54.1979,1.1581,1866.0004,0.9912,1.2501,29.6923,17.2687,289.8712,1.0211,2.1616,3.4693,121.434,2.6594,0.3723,0.2154,3524.6332,157.3878,5.7418,121.2834,6.1997,684.4413,4.2182,9.2849,3.1953,0.953,0.7715,0.6199,4.4534,1.8417,0.3788,7.8813,633.5755,7.9688,1030.2103,0.2723,10.8587,2995.2885,1.3663,6316.2175,31.2211,0.7091,165.9881,0.7352,0.2014,165.9881,30.1966,68.1211,4.2183,4.7054,80.8575
AFN,0.04139,1.0,1.2712,5.1403,0.02017,4.6613,1.3473,0.01569,0.02017,0.01915,0.02048,0.02254,0.9872,0.02048,0.004238,23.162,0.01127,0.01541,0.07721,0.05301,0.01127,0.8743,0.1375,0.03809,0.02254,0.01429,22.5479,0.01081,9.314,0.07508,44.3183,7.589,0.2705,1.1545,0.2587,2.003,0.07811,0.6229,1.6401,0.2098,0.1691,0.5855,0.01047,0.02451,0.008915,0.07811,0.008915,0.03218,0.008915,0.08763,0.008915,0.6098,99.5441,0.08643,2.3583,0.08846,0.2761,0.07889,1.2724,4.1056,164.19,0.0374,0.008915,0.8743,16.4499,475.2745,1.4388,0.008915,1.7353,0.007991,1.437,1.3156,0.8961,45.7771,0.01569,5.1509,13.9428,0.003377,0.009392,4.8124,149.2034,16.9906,4.0598,1.7071,0.1743,0.05374,0.1115,0.2142,45.562,0.6521,20.8092,35.3854,0.09112,0.4112,0.4892,0.1735,9.2041,0.2188,0.04921,0.7225,0.1743,4.6802,0.4029,0.106,1.3989,0.01721,0.004334,0.01127,0.04143,0.03972,0.5897,2.2425,0.04805,77.2496,0.04103,0.05177,1.2309,0.7102,11.4959,0.04227,0.09163,0.1436,5.0498,0.1102,0.01541,0.008915,146.0181,6.5202,0.2379,5.072,0.2565,28.3302,0.1743,0.3842,0.1409,0.0394,0.03406,0.02588,0.1847,0.07627,0.01569,0.3264,26.2185,0.3328,41.4696,0.01127,0.4498,124.9433,0.05655,262.0551,1.2958,0.02978,6.8679,0.03043,0.008335,6.8679,1.2494,2.8196,0.1743,0.1936,2.9204
ALL,0.03256,0.7866,1.0,4.0458,0.01587,3.6688,1.0598,0.01234,0.01587,0.01506,0.01611,0.01773,0.7765,0.01611,0.003334,18.2303,0.008866,0.01212,0.06074,0.0417,0.008866,0.6877,0.1081,0.02996,0.01773,0.01124,17.747,0.008505,7.3264,0.05906,34.8623,5.9698,0.2128,0.9081,0.2035,1.5757,0.06144,0.49,1.2902,0.165,0.133,0.4608,0.008236,0.01928,0.007013,0.06144,0.007013,0.02533,0.007013,0.06897,0.007013,0.4799,78.3491,0.06799,1.8562,0.06958,0.2172,0.06205,1.0015,3.2295,129.1521,0.02942,0.007013,0.6877,12.9474,374.0784,1.1318,0.007013,1.365,0.006286,1.1303,1.0349,0.7053,36.0302,0.01234,4.0517,10.9675,0.002656,0.007388,3.7856,117.3685,13.3654,3.1936,1.3428,0.1371,0.0423,0.08771,0.1685,35.8609,0.5132,16.3692,27.8511,0.07167,0.3236,0.3849,0.1365,7.2444,0.1721,0.03871,0.5686,0.1371,3.6816,0.3169,0.0834,1.1004,0.01354,0.003409,0.008866,0.03259,0.03125,0.4639,1.7641,0.0378,60.7672,0.03227,0.04072,0.9682,0.5587,9.0481,0.03325,0.07208,0.113,3.9746,0.08666,0.01212,0.007013,114.9277,5.1319,0.1872,3.992,0.2018,22.2855,0.1371,0.3023,0.1109,0.03101,0.02679,0.02036,0.1453,0.05999,0.01234,0.2568,20.636,0.2618,32.6399,0.008866,0.3538,98.3402,0.04449,206.1414,1.0193,0.02342,5.4023,0.02394,0.006557,5.4023,0.9828,2.218,0.1371,0.1524,2.2986
AMD,0.008183,0.1945,0.2472,1.0,0.003988,0.9068,0.2612,0.003103,0.003988,0.003785,0.004046,0.004456,0.1928,0.004046,0.0008378,4.506,0.002228,0.003046,0.01508,0.01054,0.002228,0.1728,0.02639,0.005983,0.004456,0.002828,4.3865,0.002137,1.8391,0.0149,8.7163,1.4759,0.05348,0.2281,0.05111,0.396,0.01543,0.1209,0.3188,0.04152,0.03342,0.1139,0.002069,0.004726,0.001762,0.01543,0.001762,0.006596,0.001762,0.01705,0.001762,0.1186,19.3655,0.01682,0.4588,0.01749,0.05386,0.01559,0.2475,0.8123,32.2723,0.007407,0.001762,0.1728,3.2002,93.6045,0.2854,0.001762,0.3392,0.00158,0.2839,0.2557,0.1833,8.9056,0.003103,1.0177,2.7663,0.00066764,0.001857,0.9464,29.108,3.359,0.7937,0.3321,0.03453,0.01045,0.02175,0.04249,8.8637,0.1269,4.0598,6.8839,0.01802,0.07999,0.09488,0.0339,1.7906,0.04352,0.009725,0.1406,0.03453,0.9103,0.07859,0.02101,0.2765,0.003405,0.00085674,0.002228,0.00812,0.007825,0.1165,0.4428,0.009483,15.0415,0.008111,0.01025,0.2435,0.1376,2.2364,0.008356,0.01783,0.02856,0.9824,0.02175,0.003046,0.001762,28.4066,1.2685,0.04628,0.9867,0.05068,5.5476,0.03453,0.07598,0.02615,0.007811,0.006631,0.005069,0.03655,0.01487,0.003103,0.06468,5.1006,0.06553,8.0676,0.002228,0.08773,24.5109,0.01118,50.8794,0.2512,0.005654,1.3569,0.006016,0.001649,1.3569,0.2468,0.5486,0.03453,0.03766,0.5681
ANG,2.0517,49.5673,63.0119,250.7223,1.0,235.4019,66.7729,0.7773,1.0,0.9479,1.0154,1.1173,49.1292,1.0154,0.2101,1125.3744,0.5587,0.7639,3.8303,2.6385,0.5587,43.2729,6.7369,1.5697,1.1173,0.7078,1117.3697,0.5353,461.1093,3.7266,2191.3023,378.1906,13.4078,57.2464,12.8356,99.2855,3.8732,30.8003,81.2963,10.3879,8.3799,28.9041,0.5192,1.1998,0.442,3.8732,0.442,1.6539,0.442,4.5404,0.442,30.1991,4929.8286,4.2786,116.7944,4.3864,13.6845,3.9117,62.6666,204.39,8091.2981,1.8662,0.442,43.2736,814.668,23468.5655,71.316,0.442,85.9298,0.3961,71.2433,65.4843,45.9582,2267.0694,0.7773,255.4153,692.0144,0.1674,0.4655,238.7476,8287.7618,842.1788,199.474,84.614,8.6545,2.6614,5.4156,10.6274,2229.4483,32.1781,1023.5143,1752.4281,4.518,20.3632,24.0403,8.5996,572.5425,10.9105,2.4382,35.976,8.6545,231.8144,19.9691,5.2606,69.2366,0.853,0.2148,0.5587,2.0539,1.9688,29.2048,111.1966,2.3761,3828.4282,2.0335,2.5647,60.9189,35.4297,594.7218,2.095,4.4348,7.1179,249.1433,5.4563,0.7639,0.442,7231.4052,322.9087,11.7803,248.8343,12.7197,1404.2518,8.6545,19.0495,6.5556,1.9552,1.5829,1.2718,9.1369,3.7787,0.7773,16.1698,1299.8917,16.3494,2113.6577,0.5587,22.2786,6145.3614,2.8032,12958.8318,64.0556,1.4549,340.5538,1.5084,0.4132,340.5538,61.9537,139.7624,8.6545,9.6541,165.8934
AOA,0.008716,0.2145,0.2726,1.1027,0.004248,1.0,0.2881,0.003264,0.004248,0.004108,0.004261,0.004746,0.2127,0.004261,0.00089233,4.9689,0.002373,0.003245,0.01662,0.01121,0.002373,0.1838,0.0291,0.008028,0.004746,0.002973,4.8087,0.002249,1.9591,0.01565,9.6118,1.6275,0.05696,0.2402,0.05453,0.4218,0.01625,0.1333,0.3515,0.04477,0.0356,0.124,0.002179,0.005212,0.001857,0.01625,0.001857,0.006903,0.001857,0.0188,0.001857,0.1308,21.3552,0.01855,0.5059,0.01864,0.05939,0.01642,0.273,0.8684,34.3774,0.007929,0.001857,0.1839,3.529,101.9608,0.303,0.001857,0.3741,0.001683,0.2997,0.2805,0.1922,9.8206,0.003264,1.0719,2.9401,0.00071109,0.001978,1.0028,32.0988,3.5776,0.8753,0.3662,0.03644,0.01153,0.02375,0.04622,9.7744,0.1399,4.477,7.5912,0.01919,0.08821,0.1046,0.03738,1.9746,0.04636,0.01036,0.1562,0.03644,0.9973,0.08667,0.02208,0.2941,0.003624,0.00091249,0.002373,0.008954,0.008629,0.1241,0.4883,0.0104,16.5869,0.008639,0.0109,0.266,0.1392,2.4662,0.0089,0.01967,0.0315,1.0722,0.02289,0.003246,0.001857,31.3253,1.3988,0.05103,1.0881,0.05338,6.1176,0.03644,0.08094,0.03022,0.008453,0.007313,0.00559,0.03882,0.0164,0.003264,0.07133,5.5879,0.06946,8.8965,0.002374,0.09674,26.8041,0.01191,56.107,0.277,0.006235,1.4292,0.006408,0.001755,1.4292,0.26,0.605,0.03644,0.04153,0.6265
ARS,0.03073,0.7422,0.9436,3.8278,0.01498,3.4712,1.0,0.01168,0.01498,0.01421,0.01524,0.01673,0.7327,0.01524,0.003146,17.248,0.008367,0.01145,0.05736,0.03954,0.008367,0.649,0.102,0.02827,0.01673,0.01063,16.7907,0.008017,6.8926,0.05604,32.8172,5.6638,0.2008,0.8589,0.1924,1.4869,0.05811,0.4613,1.2174,0.1555,0.1255,0.436,0.00779,0.01819,0.006625,0.05811,0.006625,0.02396,0.006625,0.06526,0.006625,0.4541,74.1273,0.06408,1.7562,0.06566,0.2049,0.05869,0.9475,3.0615,117.532,0.02792,0.006625,0.649,12.2497,353.9216,1.0733,0.006625,1.288,0.005932,1.0645,0.9765,0.6673,34.0888,0.01168,3.8323,10.4894,0.002507,0.006972,3.6118,110.7442,12.6126,3.0133,1.267,0.1302,0.04002,0.08279,0.159,33.9286,0.4856,15.4454,26.3504,0.06763,0.3062,0.3631,0.1288,6.854,0.1634,0.03658,0.538,0.1302,3.4738,0.299,0.07903,1.0383,0.0128,0.003217,0.008367,0.03082,0.02948,0.4376,1.6653,0.03564,57.3351,0.03045,0.0385,0.9136,0.5344,8.5606,0.03137,0.06801,0.1066,3.7604,0.08207,0.01145,0.006625,108.7349,4.8554,0.1771,3.7769,0.1908,21.0277,0.1302,0.2853,0.1049,0.02934,0.02528,0.01921,0.1361,0.05661,0.01168,0.244,19.5241,0.245,30.8811,0.008367,0.3336,93.0412,0.04196,194.5066,0.9618,0.0221,5.1098,0.02259,0.006188,5.1098,0.9296,2.0928,0.1302,0.1442,2.1747
AUD,2.6396,63.7533,81.0491,322.2418,1.2866,306.3605,85.6515,1.0,1.2866,1.2188,1.3062,1.4375,63.2448,1.3061,0.2703,1447.8801,0.7188,0.9829,4.9123,3.3927,0.7188,55.6732,8.6707,2.0133,1.4375,0.9111,1437.5838,0.6887,592.4223,4.7921,2809.4907,485.1463,17.2501,73.6389,16.5288,127.738,4.9823,39.5047,104.5699,13.342,10.7813,37.1874,0.6679,1.5432,0.5685,4.9823,0.5686,2.1274,0.5685,5.8424,0.5685,38.8535,6342.6112,5.4875,150.2652,5.6447,17.5974,5.0318,80.6253,262.7889,10409.6148,2.4026,0.5685,55.6759,1048.1343,30169.0999,91.6638,0.5685,110.5895,0.5096,91.652,84.2771,59.1153,2916.7627,1.0,328.5535,889.8993,0.2154,0.599,306.765,10715.0895,1083.5245,256.7335,108.8307,11.1355,3.4241,6.9352,13.6629,2866.51,41.1437,1317.4974,2254.6363,5.8131,26.1989,30.9427,11.0607,740.4716,14.0355,3.1312,45.8563,11.1355,298.3804,25.6791,6.7734,89.0771,1.0977,0.2764,0.7188,2.6409,2.5299,37.5786,142.561,3.0553,4910.2309,2.6163,3.2996,78.409,45.5577,765.2233,2.6953,5.7151,9.1401,320.5423,7.0237,0.9829,0.5685,9303.7701,415.4474,15.1563,319.6403,16.362,1805.2764,11.1355,24.52,8.419,2.5137,2.0315,1.6393,11.7575,4.8613,1.0,20.7844,1671.9749,21.011,2718.3786,0.7188,28.572,7899.4264,3.5869,16691.4761,82.5869,1.8761,438.0713,1.9406,0.5314,438.0713,79.6941,179.7598,11.1386,12.4076,213.4382
AWG,2.0517,49.5673,63.0119,250.7223,1.0,235.4019,66.7729,0.7773,1.0,0.9479,1.0154,1.1173,49.1292,1.0154,0.2101,1125.3744,0.5587,0.7639,3.8303,2.6385,0.5587,43.2729,6.7369,1.5697,1.1173,0.7078,1117.3697,0.5353,461.1093,3.7266,2191.3023,378.1906,13.4078,57.2464,12.8356,99.2855,3.8732,30.8003,81.2963,10.3879,8.3799,28.9041,0.5192,1.1998,0.442,3.8732,0.442,1.6539,0.442,4.5404,0.442,30.1991,4929.8286,4.2786,116.7944,4.3864,13.6845,3.9117,62.6666,204.39,8091.2981,1.8662,0.442,43.2736,814.668,23468.5655,71.316,0.442,85.9298,0.3961,71.2433,65.4843,45.9582,2267.0694,0.7773,255.4153,692.0144,0.1674,0.4655,238.7476,8287.7618,842.1788,199.474,84.614,8.6545,2.6614,5.4156,10.6274,2229.4483,32.1781,1023.5143,1752.4281,4.518,20.3632,24.0403,8.5996,572.5425,10.9105,2.4382,35.976,8.6545,231.8144,19.9691,5.2606,69.2366,0.853,0.2148,0.5587,2.0539,1.9688,29.2048,111.1966,2.3761,3828.4282,2.0335,2.5647,60.9189,35.4297,594.7218,2.095,4.4348,7.1179,249.1433,5.4563,0.7639,0.442,7231.4052,322.9087,11.7803,248.8343,12.7197,1404.2518,8.6545,19.0495,6.5556,1.9552,1.5829,1.2718,9.1369,3.7787,0.7773,16.1698,1299.8917,16.3494,2113.6577,0.5587,22.2786,6145.3614,2.8032,12958.8318,64.0556,1.4549,340.5538,1.5084,0.4132,340.5538,61.9537,139.7624,8.6545,9.6541,165.8934
AZN,2.1644,52.2185,66.3822,264.2191,1.0549,243.4231,70.353,0.8205,1.0549,1.0,1.0702,1.1787,51.5482,1.0702,0.2216,1209.5557,0.5893,0.8055,4.0319,2.7837,0.5893,45.7072,7.1786,1.7387,1.1787,0.7476,1177.4884,0.5652,486.3636,3.9269,2314.2368,396.2885,14.1443,60.3331,13.5181,104.7389,4.0821,32.5267,85.6446,10.9672,8.8402,30.5749,0.5472,1.2797,0.466,4.0821,0.466,1.7405,0.466,4.5763,0.466,31.844,5198.3573,4.5132,123.1563,4.626,14.4165,4.1226,66.4462,214.4861,8573.718,1.9553,0.466,45.7072,859.0431,24769.2063,75.3731,0.466,90.6132,0.4178,75.0938,68.6969,48.4716,2390.5571,0.8205,269.1875,729.7829,0.1766,0.4911,251.4348,7791.1769,888.4366,211.997,89.1397,9.1128,2.8063,5.8222,11.2112,2379.3233,34.053,1086.6259,1847.8832,4.7647,21.4724,25.5479,9.0622,480.6531,11.4272,2.5699,37.7288,9.1128,244.3916,21.0372,5.5531,73.1315,0.9003,0.2266,0.5893,2.1632,2.0741,30.7954,117.1025,2.5094,4033.8602,2.1452,2.7052,64.3078,36.8917,600.332,2.21,4.7847,7.4986,263.7083,5.755,0.8055,0.466,7625.3012,340.4976,12.422,264.8671,13.4055,1479.359,9.1128,20.0648,6.9267,2.0638,1.7786,1.3517,9.651,3.9825,0.8205,17.0465,1369.1725,17.3505,2165.6116,0.5893,23.4881,6506.9194,2.9572,13684.1234,67.6655,1.555,358.9167,1.5912,0.4359,358.9167,65.2943,147.2379,9.1128,10.1102,152.506
