,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,FOK,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KID,KMF,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STN,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TVD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XCD,XDR,XOF,XPF,YER,ZAR,ZMW,ZWL
AED,1.0,23.9908,31.2587,124.6402,0.4874,110.417,31.8999,0.3926,0.4874,0.4622,0.5122,0.5446,23.57,0.5122,0.1024,551.0424,0.2723,0.3792,1.8714,1.3949,0.2723,21.1242,3.35,0.8543,0.5446,0.3518,542.492,0.273,235.7081,1.8528,1118.4817,182.3099,6.5351,28.8748,6.4812,48.3924,1.9536,15.0332,39.877,4.9934,4.0844,14.0431,0.2619,0.6032,0.2226,1.9536,0.2226,0.8205,0.2226,2.1436,0.2226,14.7213,2408.4003,2.0889,56.9227,2.1391,6.6715,1.973,30.1085,101.102,3993.2268,0.9311,0.2226,21.1244,397.1636,11423.1491,36.6586,0.2226,42.1657,0.1931,35.2624,31.645,22.6045,1103.7582,0.3926,128.8305,348.896,0.08159,0.2269,117.815,3859.2948,410.4833,96.9318,41.155,4.3957,1.3054,2.7362,5.1473,1089.1811,16.1302,503.5183,847.4315,2.2032,9.9193,11.7088,4.1909,222.9983,5.4852,1.1954,17.5677,4.3957,112.9683,9.7734,2.6672,33.7987,0.4341,0.1047,0.2723,1.0255,0.9591,14.3015,52.4413,1.2248,1860.232,0.9912,1.2896,30.764,17.5627,285.3248,1.0211,2.173,3.6587,122.787,2.7452,0.3792,0.2226,3450.4302,157.3912,5.6775,117.1068,6.4158,681.7224,4.3957,9.4901,3.3986,0.9526,0.8228,0.6338,4.2083,1.85,0.3926,8.0999,632.5147,8.1056,982.2183,0.2723,11.3665,3034.2342,1.2777,6288.8628,31.9971,0.7311,171.774,0.7352,0.2043,171.774,31.2492,68.0591,4.3957,4.632,62.8147
AFN,0.04168,1.0,1.3029,5.3985,0.02032,4.6378,1.3293,0.01645,0.02032,0.01927,0.02136,0.0227,0.9851,0.02136,0.004268,23.458,0.01135,0.01583,0.07804,0.05809,0.01135,0.8784,0.1389,0.03835,0.0227,0.01475,22.8432,0.01134,9.8097,0.07699,46.5561,7.5908,0.2724,1.204,0.2701,2.0171,0.08146,0.6272,1.6622,0.2079,0.1702,0.5926,0.01092,0.02509,0.009294,0.08146,0.009294,0.03455,0.009294,0.08594,0.009294,0.618,101.104,0.08715,2.3896,0.08901,0.2781,0.08227,1.267,4.2047,165.9108,0.03886,0.009294,0.8784,16.6728,481.4476,1.528,0.009294,1.7572,0.008047,1.4623,1.3177,0.9379,46.3355,0.01645,5.3721,14.5329,0.003401,0.009458,4.9128,145.9003,17.11,4.089,1.7155,0.1832,0.0548,0.1149,0.2143,46.2084,0.6671,21.0513,35.5749,0.09168,0.4164,0.4915,0.1747,9.3269,0.2292,0.04987,0.7326,0.1832,4.7084,0.4074,0.1114,1.4054,0.01816,0.004364,0.01135,0.04271,0.03998,0.5947,2.1884,0.05113,77.9386,0.04131,0.054,1.2823,0.7384,11.6399,0.04256,0.09208,0.1525,5.1063,0.1146,0.01583,0.009294,144.8481,6.6072,0.2383,4.9113,0.2675,28.4158,0.1832,0.3943,0.1427,0.03989,0.03508,0.0265,0.1755,0.07724,0.01645,0.3385,26.5504,0.3349,41.0658,0.01135,0.4741,127.335,0.05326,262.1779,1.3326,0.03057,7.1628,0.03064,0.008515,7.1628,1.3031,2.8369,0.1832,0.1947,1.8184
ALL,0.03199,0.7675,1.0,4.137,0.01559,3.554,1.0202,0.01263,0.01559,0.01479,0.01639,0.01742,0.756,0.01639,0.003275,17.9763,0.008711,0.01215,0.05989,0.0446,0.008711,0.6743,0.1066,0.02944,0.01742,0.01132,17.5052,0.008705,7.5303,0.0591,35.7314,5.8258,0.2091,0.9243,0.2074,1.5481,0.06254,0.4813,1.2757,0.1596,0.1307,0.4542,0.008382,0.01926,0.007135,0.06254,0.007135,0.02648,0.007135,0.06586,0.007135,0.4736,77.478,0.06689,1.8312,0.06833,0.2134,0.06316,0.9709,3.2277,127.3592,0.02983,0.007135,0.6743,12.7767,368.9429,1.1728,0.007135,1.3486,0.006176,1.1225,1.0113,0.7187,35.5078,0.01263,4.1238,11.156,0.00261,0.007259,3.7705,111.9773,13.1318,3.1383,1.3166,0.1407,0.04199,0.08815,0.1645,35.4104,0.5112,16.1567,27.2618,0.07038,0.3191,0.3773,0.1341,7.1474,0.1759,0.03828,0.5614,0.1407,3.6136,0.3127,0.08551,1.0789,0.01394,0.003349,0.008711,0.03278,0.03068,0.4565,1.6796,0.03924,59.8172,0.03171,0.04145,0.9841,0.5667,8.9199,0.03267,0.07067,0.117,3.913,0.08794,0.01215,0.007135,111.0,5.0633,0.1826,3.7636,0.2054,21.8089,0.1407,0.3027,0.1093,0.03057,0.02692,0.02034,0.1347,0.05928,0.01263,0.2598,20.3461,0.2571,31.4695,0.008711,0.3639,97.5793,0.04087,201.2192,1.0227,0.02347,5.4984,0.02352,0.006535,5.4984,1.0003,2.1773,0.1407,0.1492,1.3935
AMD,0.008023,0.1852,0.2417,1.0,0.003911,0.8591,0.2477,0.003194,0.003911,0.003699,0.004143,0.004369,0.1835,0.004143,0.00082142,4.3452,0.002185,0.003071,0.01452,0.0113,0.002185,0.1704,0.02583,0.00608,0.004369,0.002861,4.2314,0.0022,1.8915,0.01494,8.6304,1.4143,0.05243,0.2336,0.05245,0.3883,0.0158,0.1166,0.3085,0.04003,0.03277,0.1098,0.002118,0.004615,0.001804,0.0158,0.001804,0.006585,0.001804,0.01592,0.001804,0.1145,18.728,0.01622,0.4426,0.01727,0.05194,0.01596,0.2347,0.8175,32.0455,0.007551,0.001804,0.1704,3.0884,91.6685,0.2978,0.001804,0.3286,0.001549,0.2837,0.2456,0.1814,8.583,0.003194,1.0422,2.8337,0.00065458,0.001821,0.9478,26.9856,3.2933,0.7722,0.3207,0.03555,0.01015,0.02123,0.04132,8.5594,0.1236,3.918,6.5897,0.01779,0.07713,0.09136,0.03271,1.7277,0.04402,0.009593,0.1357,0.03555,0.8766,0.07576,0.02161,0.2726,0.003524,0.00083999,0.002185,0.008008,0.007455,0.1148,0.4036,0.009804,14.5178,0.007952,0.01051,0.2456,0.1424,2.1561,0.008192,0.017,0.02881,0.9459,0.02223,0.003071,0.001804,26.8309,1.2239,0.04415,0.9097,0.0519,5.2022,0.03555,0.07616,0.02727,0.007622,0.006539,0.004933,0.03417,0.01438,0.003194,0.06285,4.9181,0.06493,7.6068,0.002185,0.08842,24.3499,0.01025,48.809,0.2462,0.005665,1.3896,0.005899,0.001645,1.3896,0.2528,0.5294,0.03555,0.03607,0.3368
ANG,2.0517,49.2214,64.1327,255.7213,1.0,226.5398,65.4482,0.8055,1.0,0.9482,1.0508,1.1173,48.358,1.0508,0.2101,1130.5604,0.5587,0.7779,3.8395,2.8619,0.5587,43.34,6.8732,1.7528,1.1173,0.7218,1113.0179,0.56,483.5966,3.8014,2294.762,374.0409,13.4078,59.2418,13.2973,99.2855,4.0082,30.8433,81.8147,10.2449,8.3799,28.8118,0.5373,1.2375,0.4567,4.0082,0.4567,1.6835,0.4567,4.3979,0.4567,30.2033,4941.257,4.2858,116.787,4.3887,13.6878,4.048,61.7729,207.4285,8192.8075,1.9104,0.4567,43.3404,814.8511,23436.6005,75.2116,0.4567,86.5104,0.3961,72.347,64.9253,46.3772,2264.5541,0.8055,264.3184,715.8216,0.1674,0.4655,241.7182,7918.0225,842.1788,198.8726,84.4366,9.0185,2.6782,5.6138,10.5607,2234.6468,33.0939,1033.0564,1738.6548,4.5203,20.3511,24.0227,8.5984,457.5203,11.2539,2.4526,36.0431,9.0185,231.7744,20.0518,5.4723,69.344,0.8906,0.2148,0.5587,2.1039,1.9677,29.342,107.5926,2.5128,3816.5933,2.0335,2.6459,63.1178,36.033,585.3941,2.095,4.4582,7.5066,251.9191,5.6322,0.7779,0.4567,7079.1648,322.9158,11.6484,240.2652,13.1631,1398.6735,9.0185,19.4707,6.9729,1.9545,1.6882,1.3004,8.6342,3.7957,0.8055,16.6185,1297.7152,16.6301,2015.1937,0.5587,23.3205,6225.2655,2.6214,12902.7086,65.6477,1.5001,352.4246,1.5084,0.4191,352.4246,64.1132,139.6352,9.0185,9.5033,128.8754
AOA,0.009057,0.2156,0.2814,1.164,0.004414,1.0,0.2884,0.003485,0.004414,0.004184,0.004541,0.004932,0.2136,0.004541,0.00092724,5.058,0.002466,0.003434,0.01691,0.01242,0.002466,0.1913,0.03007,0.008414,0.004932,0.003117,4.9254,0.002415,2.0992,0.01638,10.0461,1.6463,0.05919,0.256,0.05772,0.4383,0.01732,0.1357,0.3591,0.04557,0.03699,0.1278,0.002322,0.005372,0.001975,0.01732,0.001975,0.00745,0.001975,0.01853,0.001975,0.1333,21.8,0.01888,0.5152,0.01905,0.06045,0.01749,0.2732,0.9004,35.5639,0.008293,0.001975,0.1881,3.595,103.8095,0.3265,0.001975,0.3825,0.001748,0.3121,0.2859,0.2022,9.9908,0.003485,1.1423,3.1073,0.0007389,0.002055,1.0916,31.4121,3.7176,0.8989,0.3733,0.03889,0.01182,0.02505,0.04656,9.9634,0.1438,4.5607,7.6707,0.01995,0.08979,0.1063,0.03807,2.0111,0.04885,0.01065,0.158,0.03889,1.0263,0.08819,0.02362,0.3061,0.003866,0.00094819,0.002466,0.009322,0.008678,0.1274,0.4698,0.0109,16.8992,0.008976,0.01149,0.2746,0.1703,2.5098,0.009248,0.01979,0.03354,1.101,0.0243,0.003377,0.001975,31.2321,1.4247,0.05139,1.059,0.05689,6.0556,0.03889,0.08452,0.03076,0.008601,0.007612,0.005742,0.03748,0.01674,0.003485,0.07315,5.7458,0.07219,8.8546,0.002425,0.1029,27.4559,0.01138,56.8152,0.2866,0.006594,1.523,0.006658,0.001819,1.523,0.2771,0.6162,0.03889,0.04199,0.3921
ARS,0.03135,0.7523,0.9802,4.0367,0.01528,3.4679,1.0,0.0124,0.01528,0.01449,0.01608,0.01707,0.741,0.01608,0.003209,17.5406,0.008536,0.01192,0.05867,0.04374,0.008536,0.661,0.1045,0.02885,0.01707,0.01111,17.0809,0.008542,7.388,0.05801,35.0622,5.7151,0.2049,0.9065,0.2037,1.517,0.06133,0.4713,1.2504,0.1563,0.128,0.4431,0.008221,0.01887,0.006997,0.06133,0.006997,0.02584,0.006997,0.06426,0.006997,0.4621,75.6,0.06548,1.7868,0.06699,0.2092,0.06194,0.9474,3.162,124.5835,0.02928,0.006997,0.661,12.467,360.0,1.1473,0.006997,1.3219,0.006052,1.0993,0.9912,0.7013,34.6471,0.0124,4.0446,10.9618,0.002558,0.007113,3.6964,109.7556,12.8679,3.076,1.2905,0.1379,0.04098,0.08639,0.1612,34.5521,0.4988,15.8361,26.601,0.069,0.3114,0.3698,0.1314,6.9742,0.1727,0.03752,0.5478,0.1379,3.5419,0.3065,0.08396,1.0577,0.01368,0.003282,0.008536,0.03212,0.03007,0.4476,1.6439,0.03843,58.3152,0.03107,0.04065,0.9646,0.5535,8.7037,0.03201,0.06927,0.1147,3.8182,0.08631,0.01192,0.006997,108.3095,4.9405,0.1782,3.6724,0.2014,21.3763,0.1379,0.2967,0.1067,0.02983,0.02639,0.01994,0.1319,0.05811,0.0124,0.2546,19.8529,0.2521,30.7067,0.008536,0.3563,95.2141,0.03949,197.2261,1.0025,0.023,5.3928,0.02305,0.006404,5.3928,0.9811,2.1341,0.1379,0.1456,1.3597
AUD,2.5472,60.7848,79.1844,313.0959,1.2415,286.9275,80.6286,1.0,1.2415,1.1698,1.3045,1.3872,59.7536,1.3044,0.2608,1403.6063,0.6936,0.9667,4.7304,3.5297,0.6936,53.6923,8.4988,2.1471,1.3872,0.8958,1381.8302,0.6946,595.8608,4.6989,2828.776,460.8424,16.6458,73.5471,16.5741,123.2631,4.9761,38.0018,101.0111,12.6163,10.4036,35.7703,0.6672,1.5281,0.566,4.9761,0.5661,2.0746,0.566,5.5305,0.566,37.4979,6134.6559,5.2799,144.993,5.4476,16.8863,5.0255,76.6921,258.1778,10170.3664,2.3735,0.566,53.6949,1011.6517,28874.6147,92.6458,0.566,106.6863,0.4917,89.598,80.1707,57.338,2811.483,1.0,328.144,888.9667,0.2078,0.578,297.3602,9879.4272,1045.5661,245.6536,104.1553,11.1909,3.325,6.8716,13.0291,2751.58,40.9471,1276.5487,2158.57,5.6095,25.2663,29.7027,10.6062,565.0436,13.9535,3.0245,43.995,11.1909,286.0166,24.7504,6.7998,85.9076,1.1052,0.2667,0.6936,2.5944,2.428,36.3964,132.6662,3.1142,4699.7295,2.5246,3.2802,78.0329,44.3015,730.8131,2.6009,5.505,9.2474,312.7624,6.989,0.9667,0.566,8788.9052,400.9055,14.4617,296.376,16.3416,1729.7365,11.1909,24.0945,8.5984,2.4108,2.0782,1.606,10.7341,4.6923,1.0,20.6382,1602.282,20.4947,2489.2082,0.6937,28.7248,7677.108,3.1663,16036.9052,81.105,1.8529,437.5253,1.8727,0.5168,437.5253,79.5948,172.2819,11.1956,11.7101,160.0137
AWG,2.0517,49.2214,64.1327,255.7213,1.0,226.5398,65.4482,0.8055,1.0,0.9482,1.0508,1.1173,48.358,1.0508,0.2101,1130.5604,0.5587,0.7779,3.8395,2.8619,0.5587,43.34,6.8732,1.7528,1.1173,0.7218,1113.0179,0.56,483.5966,3.8014,2294.762,374.0409,13.4078,59.2418,13.2973,99.2855,4.0082,30.8433,81.8147,10.2449,8.3799,28.8118,0.5373,1.2375,0.4567,4.0082,0.4567,1.6835,0.4567,4.3979,0.4567,30.2033,4941.257,4.2858,116.787,4.3887,13.6878,4.048,61.7729,207.4285,8192.8075,1.9104,0.4567,43.3404,814.8511,23436.6005,75.2116,0.4567,86.5104,0.3961,72.347,64.9253,46.3772,2264.5541,0.8055,264.3184,715.8216,0.1674,0.4655,241.7182,7918.0225,842.1788,198.8726,84.4366,9.0185,2.6782,5.6138,10.5607,2234.6468,33.0939,1033.0564,1738.6548,4.5203,20.3511,24.0227,8.5984,457.5203,11.2539,2.4526,36.0431,9.0185,231.7744,20.0518,5.4723,69.344,0.8906,0.2148,0.5587,2.1039,1.9677,29.342,107.5926,2.5128,3816.5933,2.0335,2.6459,63.1178,36.033,585.3941,2.095,4.4582,7.5066,251.9191,5.6322,0.7779,0.4567,7079.1648,322.9158,11.6484,240.2652,13.1631,1398.6735,9.0185,19.4707,6.9729,1.9545,1.6882,1.3004,8.6342,3.7957,0.8055,16.6185,1297.7152,16.6301,2015.1937,0.5587,23.3205,6225.2655,2.6214,12902.7086,65.6477,1.5001,352.4246,1.5084,0.4191,352.4246,64.1132,139.6352,9.0185,9.5033,128.8754
AZN,2.1636,51.9029,67.6266,270.4493,1.0546,238.9908,68.9956,0.8549,1.0546,1.0,1.1096,1.1783,51.127,1.1096,0.2215,1208.8167,0.5891,0.8226,4.0504,3.0197,0.5891,45.6341,7.2086,1.9169,1.1783,0.7662,1177.1351,0.5892,509.6021,3.9997,2416.3962,393.9806,14.1395,62.5564,14.037,104.7039,4.2325,32.5513,86.2719,10.7923,8.8372,30.5393,0.5673,1.3025,0.483,4.2325,0.483,1.7772,0.483,4.4288,0.483,31.846,5210.0,4.5232,123.1387,4.6246,14.4335,4.2745,65.2882,218.3954,8618.8734,2.0183,0.483,45.6341,859.1689,24769.5786,79.5173,0.483,91.2027,0.4177,75.9664,68.3896,48.8439,2387.7177,0.8549,279.1071,755.3328,0.1765,0.491,254.8293,7572.6596,888.1404,212.2278,89.0365,9.5129,2.8238,5.9611,11.137,2381.17,34.3754,1092.6208,1833.216,4.7633,21.458,25.5122,9.0683,480.6273,11.9058,2.5906,37.7536,9.5129,244.377,21.1442,5.7871,73.0146,0.9436,0.2265,0.5891,2.2169,2.0749,30.8915,113.5869,2.6537,4045.2183,2.1445,2.8056,66.5881,38.2196,599.8158,2.2093,4.7795,7.9155,263.1313,5.9524,0.8226,0.483,7464.1834,340.4784,12.2819,253.0846,13.8995,1474.876,9.5129,20.4833,7.355,2.0606,1.8208,1.3757,9.1171,4.0091,0.8549,17.5692,1368.1723,17.3945,2116.1657,0.5891,24.6064,6575.4541,2.7645,13607.7324,69.1651,1.5869,372.1428,1.5907,0.442,372.1428,67.7004,147.2422,9.5129,10.0347,93.705
