,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,FOK,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KID,KMF,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STN,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TVD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XCD,XDR,XOF,XPF,YER,ZAR,ZMW,ZWL
AED,1.0,24.075,30.3092,133.511,0.4874,123.7712,30.0953,0.3623,0.4874,0.4625,0.4847,0.5446,23.4068,0.4847,0.1024,548.1321,0.2723,0.3691,1.8708,1.3065,0.2723,20.7946,3.1369,0.8612,0.5446,0.3401,542.0881,0.2534,214.9228,1.7403,1029.8212,176.7397,6.5351,27.3236,6.1016,48.3924,1.8487,14.9871,38.8378,5.0034,4.0844,13.9159,0.2478,0.5643,0.2069,1.8487,0.2069,0.8767,0.2069,2.2082,0.2069,14.9146,2427.5203,2.0932,56.8606,2.1319,6.6541,1.867,28.9537,92.5719,3902.803,0.8791,0.2069,20.7948,396.7025,11417.7108,35.1382,0.2069,41.6495,0.1931,33.291,31.2748,27.0409,1099.8623,0.3623,121.9093,333.29,0.08159,0.2269,134.9086,3258.2873,410.4833,78.8909,41.6735,3.9579,1.2676,2.6054,5.005,863.5426,15.2621,483.2966,796.3999,2.1958,9.8922,12.1462,4.1936,223.2114,5.4606,1.1467,17.5347,3.9579,113.1379,9.7276,2.3477,33.2713,0.3913,0.1047,0.2723,1.0172,0.959,14.2245,49.5954,1.1631,1908.0312,0.9912,1.2214,29.1399,27.4786,284.1949,1.0211,2.1543,3.9158,121.3818,2.5628,0.3691,0.2069,3170.368,157.2296,5.611,117.1235,6.0711,684.044,3.9579,9.176,3.4266,0.9527,0.788,0.614,4.0339,1.849,0.3623,7.8017,631.5475,8.051,979.6215,0.2723,11.503,3121.2435,1.181,6192.2628,30.77,0.6959,162.5457,0.7352,0.1973,162.5457,29.5704,68.1484,3.9579,4.861,37.6068
AFN,0.04154,1.0,1.259,5.5827,0.02025,5.1896,1.251,0.01502,0.02025,0.01922,0.02009,0.02262,0.9749,0.02009,0.004253,23.4304,0.01131,0.01532,0.07773,0.05407,0.01131,0.8606,0.1304,0.03688,0.02262,0.01416,22.838,0.01048,8.9187,0.07188,42.8305,7.3171,0.2714,1.1325,0.2531,2.0101,0.07662,0.6232,1.6132,0.2076,0.1697,0.5863,0.01027,0.02359,0.008564,0.07662,0.008564,0.03691,0.008564,0.08342,0.008564,0.627,102.0544,0.087,2.3905,0.08842,0.2764,0.07739,1.2165,3.8396,162.0536,0.03631,0.008564,0.8606,16.6776,478.2549,1.4595,0.008564,1.729,0.008019,1.377,1.2974,1.1755,46.2389,0.01502,5.0529,13.7973,0.003389,0.009425,5.6197,131.7618,17.0502,3.2727,1.731,0.1647,0.05329,0.1096,0.208,46.1951,0.6391,20.1182,33.4811,0.09107,0.4159,0.5121,0.1744,9.3345,0.2259,0.04758,0.7325,0.1647,4.7004,0.4041,0.09775,1.377,0.01621,0.004349,0.01131,0.04231,0.03983,0.5888,2.0615,0.0486,78.795,0.04117,0.05083,1.2098,1.2025,11.612,0.04241,0.09157,0.1627,5.1349,0.1063,0.01532,0.008564,133.2842,6.61,0.2359,4.9131,0.2516,28.4132,0.1647,0.3791,0.1486,0.03993,0.03346,0.02543,0.1677,0.07683,0.01502,0.3241,26.4832,0.3337,41.3757,0.01131,0.4791,131.4879,0.04905,256.4839,1.2612,0.02898,6.7372,0.03054,0.008193,6.7372,1.2256,2.8307,0.1647,0.2028,1.5787
ALL,0.03299,0.7943,1.0,4.3869,0.01608,4.078,0.9937,0.01194,0.01608,0.01527,0.01597,0.01797,0.7744,0.01597,0.003378,18.4116,0.008984,0.01218,0.06174,0.04298,0.008984,0.6842,0.1036,0.0293,0.01797,0.01125,17.9462,0.008334,7.09,0.05714,34.0208,5.812,0.2156,0.9003,0.2012,1.5966,0.06091,0.495,1.2814,0.1649,0.1348,0.4607,0.008165,0.01874,0.006808,0.06091,0.006808,0.029,0.006808,0.06555,0.006808,0.4927,80.1946,0.0691,1.8784,0.07029,0.2195,0.06152,0.9559,3.0523,128.8255,0.02887,0.006808,0.6842,13.1053,375.8137,1.1593,0.006808,1.3734,0.00637,1.0947,1.0306,0.9237,36.3346,0.01194,4.0169,10.9683,0.002692,0.007487,4.4637,104.6597,13.5432,2.5996,1.3749,0.1309,0.04188,0.08705,0.1652,36.3002,0.5022,15.98,26.3095,0.0724,0.3268,0.4068,0.1385,7.3351,0.1796,0.03782,0.5756,0.1309,3.7336,0.3209,0.07771,1.0947,0.01289,0.003454,0.008984,0.0336,0.03164,0.4681,1.6375,0.0386,62.5875,0.0327,0.04041,0.9609,0.9552,9.1247,0.03369,0.07273,0.1292,4.0351,0.08451,0.01218,0.006808,104.735,5.1942,0.1854,3.8607,0.2,22.5688,0.1309,0.3013,0.1168,0.03138,0.02658,0.0202,0.1333,0.06102,0.01194,0.2574,20.8105,0.2653,32.5131,0.008984,0.3806,103.3235,0.03896,203.7256,1.0018,0.02302,5.3558,0.02426,0.006508,5.3558,0.9743,2.2484,0.1309,0.1593,1.2406
AMD,0.00749,0.1791,0.2279,1.0,0.003651,0.9296,0.2252,0.002712,0.003651,0.003459,0.00362,0.004079,0.1764,0.00362,0.00076685,4.1969,0.002039,0.002764,0.01409,0.009837,0.002039,0.1552,0.02362,0.006128,0.004079,0.002554,4.0908,0.001888,1.6098,0.01298,7.6987,1.3294,0.04895,0.2041,0.0456,0.3625,0.01381,0.1123,0.2913,0.03746,0.03059,0.105,0.001851,0.004279,0.001546,0.01381,0.001546,0.006567,0.001546,0.01494,0.001546,0.1123,18.2803,0.01576,0.4282,0.01595,0.05025,0.01394,0.2179,0.6928,29.2323,0.006555,0.001546,0.1552,2.9874,85.5189,0.2623,0.001546,0.3132,0.001446,0.2481,0.2343,0.2025,8.2825,0.002712,0.9105,2.4821,0.00061109,0.0017,1.0101,23.7446,3.0745,0.5731,0.3132,0.02961,0.009546,0.01987,0.03742,8.2746,0.1145,3.6393,5.9973,0.01643,0.07449,0.0914,0.03164,1.672,0.0409,0.008588,0.1312,0.02961,0.851,0.07318,0.01767,0.2484,0.002924,0.00078418,0.002039,0.007731,0.007211,0.1065,0.3734,0.008782,14.2313,0.007424,0.009155,0.2181,0.1983,2.08,0.007648,0.01657,0.0295,0.9198,0.01913,0.002764,0.001546,23.8743,1.184,0.04225,0.88,0.04534,5.14,0.02961,0.06873,0.02567,0.007133,0.006002,0.004579,0.03021,0.0139,0.002712,0.05849,4.7438,0.06017,7.4114,0.002039,0.08703,23.3782,0.008846,46.8074,0.2296,0.005285,1.214,0.005507,0.00148,1.214,0.2208,0.5122,0.02961,0.03632,0.2828
ANG,2.0517,49.3941,62.1847,273.9214,1.0,253.9383,61.7457,0.7433,1.0,0.9489,0.9944,1.1173,48.0233,0.9944,0.2101,1124.5894,0.5587,0.7573,3.8382,2.6806,0.5587,42.6637,6.4359,1.7668,1.1173,0.6978,1112.1892,0.5198,440.952,3.5706,2112.8594,362.6126,13.4078,56.0592,12.5185,99.2855,3.7929,30.7487,79.6827,10.2653,8.3799,28.551,0.5084,1.1577,0.4244,3.7929,0.4244,1.7988,0.4244,4.5305,0.4244,30.5999,4980.4851,4.2946,116.6596,4.3739,13.652,3.8306,59.4037,189.9276,8007.2871,1.8035,0.4244,42.6642,813.9049,23425.443,72.0922,0.4244,85.4512,0.3961,68.3024,64.1658,55.4791,2256.561,0.7433,250.1184,683.8032,0.1674,0.4655,276.7888,6684.9498,842.1788,161.8587,85.5005,8.1203,2.6007,5.3453,10.2687,1771.7095,31.3129,991.568,1633.9546,4.5051,20.2956,24.9201,8.6039,457.9574,11.2033,2.3526,35.9756,8.1203,232.1224,19.9578,4.8167,68.2619,0.8028,0.2148,0.5587,2.0869,1.9676,29.184,101.7537,2.3864,3914.6617,2.0335,2.506,59.7856,56.3772,583.0758,2.095,4.4199,8.0339,249.0361,5.258,0.7573,0.4244,6504.5679,322.5843,11.512,240.2994,12.4559,1403.4366,8.1203,18.8261,7.0303,1.9547,1.6168,1.2598,8.2762,3.7936,0.7433,16.0067,1295.7308,16.5181,2009.866,0.5587,23.6005,6403.7804,2.423,12704.5168,63.1301,1.4277,333.4912,1.5084,0.4047,333.4912,60.6689,139.8185,8.1203,9.9732,77.157
AOA,0.008079,0.1927,0.2452,1.0758,0.003938,1.0,0.2423,0.002876,0.003938,0.003741,0.003837,0.0044,0.1898,0.003837,0.00082719,4.5149,0.0022,0.002982,0.01516,0.01056,0.0022,0.168,0.02541,0.007172,0.0044,0.002706,4.4214,0.002008,1.7368,0.01375,8.2819,1.4301,0.0528,0.2163,0.04931,0.391,0.01464,0.1208,0.3134,0.04076,0.033,0.1132,0.001962,0.004603,0.001637,0.01464,0.001637,0.007112,0.001637,0.01607,0.001637,0.1208,19.6653,0.01695,0.4606,0.01723,0.05405,0.01478,0.2344,0.7481,31.5379,0.007103,0.001637,0.168,3.2137,92.1569,0.2839,0.001637,0.3369,0.00156,0.2637,0.2546,0.2265,8.91,0.002876,0.9653,2.6933,0.00065918,0.001833,1.1201,25.5435,3.3165,0.6165,0.3369,0.03154,0.01027,0.02151,0.04048,8.9015,0.1231,3.915,6.4516,0.01774,0.08014,0.09833,0.03403,1.7987,0.04413,0.009266,0.144,0.03154,0.9222,0.07873,0.01863,0.2688,0.003162,0.00084589,0.0022,0.008317,0.007758,0.1149,0.4017,0.0094,15.3094,0.008008,0.00987,0.2356,0.2287,2.2376,0.00825,0.01783,0.03174,0.99,0.02028,0.002983,0.001637,25.6831,1.2737,0.04545,0.9467,0.04807,5.5294,0.03154,0.07415,0.02864,0.007694,0.006457,0.004926,0.0326,0.01495,0.002876,0.06292,5.1474,0.06506,7.9729,0.0022,0.09363,25.3369,0.009543,50.3535,0.247,0.005686,1.287,0.00594,0.001594,1.287,0.2341,0.551,0.03154,0.03907,0.3042
ARS,0.03323,0.7993,1.0063,4.4404,0.0162,4.1277,1.0,0.01203,0.0162,0.01536,0.01608,0.0181,0.7793,0.01608,0.003402,18.6359,0.009048,0.01227,0.06216,0.04337,0.009048,0.6892,0.1042,0.02948,0.0181,0.01133,18.1648,0.008397,7.1395,0.05757,34.2186,5.8728,0.2171,0.9066,0.2027,1.608,0.06134,0.498,1.2895,0.1659,0.1357,0.4663,0.008222,0.01889,0.006857,0.06134,0.006857,0.02935,0.006857,0.06635,0.006857,0.4987,81.1715,0.06955,1.9013,0.07077,0.2209,0.06195,0.9676,3.0744,127.5581,0.02909,0.006857,0.6892,13.265,380.3922,1.1735,0.006857,1.3821,0.006415,1.1029,1.0371,0.9349,36.7773,0.01203,4.045,11.0325,0.002711,0.00754,4.49,105.3231,13.6395,2.616,1.3837,0.1318,0.04239,0.08767,0.1663,36.7424,0.5083,16.0814,26.6301,0.07289,0.3308,0.4093,0.1394,7.4244,0.181,0.03811,0.5826,0.1318,3.7572,0.323,0.0783,1.1028,0.01299,0.003479,0.009048,0.03381,0.03184,0.4717,1.648,0.03891,63.401,0.03293,0.04069,0.967,0.9537,9.2359,0.03393,0.0732,0.13,4.0842,0.08509,0.01227,0.006857,106.0109,5.2575,0.1876,3.9077,0.2014,22.7119,0.1318,0.3033,0.1182,0.03176,0.02675,0.02033,0.1342,0.06141,0.01203,0.2592,21.0641,0.2683,32.9092,0.009048,0.3822,104.5822,0.03918,205.0181,1.0081,0.02317,5.3934,0.02443,0.006554,5.3934,0.9812,2.2627,0.1318,0.1613,1.2557
AUD,2.7603,66.5752,83.7471,368.7989,1.3454,347.75,83.124,1.0,1.3454,1.2778,1.3374,1.5032,64.1905,1.3374,0.2826,1512.9812,0.7516,1.0204,5.1651,3.6066,0.7516,57.401,8.6699,2.3753,1.5032,0.9389,1496.3014,0.6991,593.1336,4.7788,2844.5677,488.0022,18.0384,75.3987,16.9655,133.5753,5.1014,41.3912,107.3334,13.8107,11.274,38.4115,0.6838,1.5571,0.5704,5.1014,0.5703,2.4196,0.5704,6.1962,0.5704,41.1681,6700.5765,5.7795,156.9498,5.8844,18.3802,5.1521,79.9197,255.9212,10728.8575,2.4282,0.5704,57.31,1095.0002,31531.8331,96.9527,0.5704,115.013,0.5329,91.7919,86.3939,74.2921,3035.901,1.0,336.4053,917.978,0.2252,0.6263,372.0624,9022.4012,1133.0385,216.4413,115.1538,10.9393,3.4989,7.1719,13.8273,2278.5134,42.1875,1327.1862,2198.2674,6.0614,27.305,32.9089,11.597,616.7101,15.0648,3.1507,48.0115,10.9393,312.6766,26.8775,6.4865,91.8416,1.0803,0.289,0.7516,2.807,2.6499,39.1828,136.9331,3.218,5270.9515,2.7358,3.3814,80.4834,75.7991,788.1058,2.8185,5.9438,10.8182,335.0446,7.0734,1.0204,0.5704,8751.0261,433.994,15.4878,323.4395,16.753,1890.201,10.9393,25.3162,9.4172,2.6314,2.1754,1.6952,11.1573,5.1107,1.0,21.4788,1744.8449,22.2197,2702.2395,0.7516,31.7508,8613.0843,3.2361,17103.149,84.9461,1.9204,448.5404,2.0293,0.544,448.5404,81.5987,188.3104,10.9376,13.4362,103.8045
AWG,2.0517,49.3941,62.1847,273.9214,1.0,253.9383,61.7457,0.7433,1.0,0.9489,0.9944,1.1173,48.0233,0.9944,0.2101,1124.5894,0.5587,0.7573,3.8382,2.6806,0.5587,42.6637,6.4359,1.7668,1.1173,0.6978,1112.1892,0.5198,440.952,3.5706,2112.8594,362.6126,13.4078,56.0592,12.5185,99.2855,3.7929,30.7487,79.6827,10.2653,8.3799,28.551,0.5084,1.1577,0.4244,3.7929,0.4244,1.7988,0.4244,4.5305,0.4244,30.5999,4980.4851,4.2946,116.6596,4.3739,13.652,3.8306,59.4037,189.9276,8007.2871,1.8035,0.4244,42.6642,813.9049,23425.443,72.0922,0.4244,85.4512,0.3961,68.3024,64.1658,55.4791,2256.561,0.7433,250.1184,683.8032,0.1674,0.4655,276.7888,6684.9498,842.1788,161.8587,85.5005,8.1203,2.6007,5.3453,10.2687,1771.7095,31.3129,991.568,1633.9546,4.5051,20.2956,24.9201,8.6039,457.9574,11.2033,2.3526,35.9756,8.1203,232.1224,19.9578,4.8167,68.2619,0.8028,0.2148,0.5587,2.0869,1.9676,29.184,101.7537,2.3864,3914.6617,2.0335,2.506,59.7856,56.3772,583.0758,2.095,4.4199,8.0339,249.0361,5.258,0.7573,0.4244,6504.5679,322.5843,11.512,240.2994,12.4559,1403.4366,8.1203,18.8261,7.0303,1.9547,1.6168,1.2598,8.2762,3.7936,0.7433,16.0067,1295.7308,16.5181,2009.866,0.5587,23.6005,6403.7804,2.423,12704.5168,63.1301,1.4277,333.4912,1.5084,0.4047,333.4912,60.6689,139.8185,8.1203,9.9732,77.157
AZN,2.1621,52.0317,65.5052,289.1446,1.0538,267.3298,65.0926,0.7826,1.0538,1.0,1.0464,1.1775,50.7247,1.0464,0.2214,1206.9645,0.5887,0.7983,4.0446,2.822,0.5887,44.8404,6.7849,1.858,1.1775,0.7375,1176.4513,0.546,464.4041,3.745,2228.5368,380.7151,14.1296,58.991,13.1861,104.6306,3.9912,32.427,83.9375,10.8022,8.831,30.2031,0.535,1.2276,0.4463,3.9912,0.4463,1.9009,0.4463,4.297,0.4463,32.2995,5257.113,4.5266,123.1391,4.6066,14.381,4.0309,62.6658,200.0793,8438.2619,1.8924,0.4463,44.8405,859.1111,24738.29,75.953,0.4463,89.9635,0.4174,71.7207,67.5072,58.7697,2381.8957,0.7826,263.1992,718.5044,0.1764,0.4906,292.1469,6855.7557,887.5178,170.2856,90.066,8.5768,2.7451,5.7024,10.8215,2379.6402,32.9207,1046.776,1724.7083,4.7448,21.4228,26.6456,9.0724,480.8458,11.7609,2.4775,37.7312,8.5768,244.5676,21.0235,5.0947,71.7446,0.8447,0.2264,0.5887,2.2013,2.0727,30.6618,107.2642,2.5308,4099.81,2.143,2.6478,62.976,61.7037,598.1671,2.2078,4.7645,8.4629,264.5158,5.5361,0.7983,0.4463,6865.847,340.5014,12.1514,253.0869,13.1073,1478.3769,8.5768,19.7383,7.4456,2.0624,1.7412,1.3233,8.7368,3.9973,0.7826,16.8613,1364.2237,17.3848,2131.3825,0.5887,24.9292,6787.2067,2.5534,13345.097,65.6203,1.5081,350.9322,1.5896,0.4265,350.9322,63.8418,147.2845,8.5768,10.4443,81.3236
