,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLP,CNY,COP,CRC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,FOK,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KID,KMF,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STN,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TVD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XCD,XDR,XOF,XPF,YER,ZAR,ZMW,ZWL
AED,1.0,23.8716,31.1573,126.2136,0.4874,110.7081,31.8886,0.3964,0.4874,0.4625,0.5123,0.5446,23.4711,0.5123,0.1024,552.1203,0.2723,0.3802,1.8696,1.4049,0.2723,21.061,3.35,0.8036,0.5446,0.3548,543.0508,0.2726,234.7885,1.8504,1114.185,182.6526,6.5351,28.8805,6.5552,48.3924,1.954,14.9988,39.8122,5.0233,4.0844,14.0656,0.2619,0.5972,0.223,1.954,0.223,0.8227,0.223,2.1217,0.223,14.7213,2408.4003,2.087,56.9227,2.1383,6.689,1.9734,30.1218,100.0785,3975.6635,0.9404,0.223,21.0613,397.1636,11419.2352,36.3527,0.223,42.273,0.1931,34.9665,31.6676,22.5807,1103.7582,0.3964,128.8557,350.7269,0.08159,0.2269,119.3703,3781.9436,410.4833,99.01,41.2627,4.3889,1.3054,2.6913,5.1474,1088.5208,15.907,500.653,847.4315,2.2025,9.9193,11.6747,4.1957,222.9742,5.5258,1.1933,17.4956,4.3889,112.6465,9.7624,2.6873,33.6975,0.4363,0.1047,0.2723,1.0317,0.9594,14.2882,51.888,1.2199,1843.457,0.9912,1.294,30.7281,17.6939,285.1179,1.0211,2.169,3.6556,121.4072,2.7619,0.3802,0.223,3450.4302,157.3912,5.6775,117.0923,6.417,676.6991,4.3889,9.4595,3.4001,0.9521,0.793,0.6331,4.1837,1.8444,0.3964,8.1097,632.0318,8.1417,981.7502,0.2723,11.3532,3046.7587,1.2702,6288.7419,31.7606,0.7248,171.8076,0.7352,0.2046,171.8076,31.2553,68.1662,4.389,4.646,59.1086
AFN,0.04189,1.0,1.3052,5.3985,0.02042,4.6378,1.336,0.01658,0.02042,0.01939,0.02138,0.02281,0.9897,0.02138,0.004289,23.458,0.01141,0.01588,0.07837,0.05921,0.01141,0.8822,0.1394,0.03878,0.02281,0.01484,22.8432,0.01135,9.8273,0.07731,46.5781,7.6314,0.2738,1.2056,0.2725,2.0272,0.08157,0.6293,1.6678,0.2105,0.1711,0.5926,0.01093,0.02497,0.009326,0.08157,0.009326,0.03455,0.009326,0.08594,0.009326,0.618,101.104,0.08752,2.3896,0.08932,0.2802,0.08238,1.267,4.1792,166.8133,0.03934,0.009326,0.8822,16.6728,481.4476,1.5228,0.009326,1.7704,0.008087,1.4635,1.3249,0.9379,46.3355,0.01658,5.3791,14.6725,0.003418,0.009505,5.0205,145.7317,17.1955,4.1716,1.7285,0.1846,0.0548,0.1149,0.2156,46.2084,0.6671,21.1463,35.5749,0.092,0.4164,0.4946,0.176,9.3269,0.2324,0.05,0.7326,0.1846,4.7331,0.409,0.1126,1.4115,0.01825,0.004386,0.01141,0.0432,0.04019,0.5967,2.1797,0.05078,78.3749,0.04152,0.05409,1.2788,0.7691,11.6399,0.04277,0.09221,0.1531,5.1063,0.1155,0.01588,0.009326,144.8481,6.6072,0.2383,4.9113,0.2679,28.3469,0.1846,0.3953,0.1427,0.03989,0.0353,0.02662,0.1751,0.0776,0.01658,0.3399,26.5504,0.3356,41.0658,0.01141,0.4773,127.335,0.05321,263.4925,1.332,0.03056,7.1722,0.0308,0.008572,7.1722,1.3048,2.8555,0.1846,0.1947,1.8184
ALL,0.0321,0.7662,1.0,4.137,0.01564,3.554,1.0236,0.0127,0.01564,0.01485,0.01638,0.01748,0.7583,0.01638,0.003286,17.9763,0.008739,0.01217,0.06004,0.04535,0.008739,0.6757,0.1068,0.02971,0.01748,0.01137,17.5052,0.008691,7.5276,0.05922,35.6864,5.8469,0.2097,0.9235,0.2087,1.5532,0.06248,0.4822,1.2778,0.1613,0.1311,0.4542,0.008375,0.01913,0.007143,0.06248,0.007143,0.02648,0.007143,0.06586,0.007143,0.4736,77.478,0.06706,1.8312,0.06842,0.2147,0.0631,0.9709,3.2012,127.7778,0.03013,0.007143,0.6757,12.7767,368.9429,1.1668,0.007143,1.3565,0.006196,1.121,1.0151,0.7187,35.5078,0.0127,4.1204,11.239,0.002619,0.007283,3.8465,111.6544,13.1745,3.1961,1.3243,0.1414,0.04199,0.088,0.1652,35.4104,0.5112,16.2016,27.2618,0.07047,0.3191,0.3789,0.1348,7.1474,0.178,0.0383,0.5614,0.1414,3.6263,0.3133,0.08622,1.0812,0.01398,0.00336,0.008739,0.0331,0.03079,0.4571,1.67,0.03891,60.0481,0.03181,0.04143,0.9798,0.5893,8.9199,0.03277,0.07065,0.1173,3.913,0.08848,0.01217,0.007143,111.0,5.0633,0.1826,3.7636,0.2052,21.7183,0.1414,0.3028,0.1093,0.03057,0.02705,0.0204,0.1341,0.05945,0.0127,0.2604,20.3461,0.2571,31.4695,0.008739,0.3657,97.5793,0.04077,201.8785,1.0205,0.02341,5.4938,0.0236,0.006567,5.4938,0.9994,2.1878,0.1414,0.1492,1.3935
AMD,0.007923,0.1852,0.2417,1.0,0.003862,0.8591,0.2477,0.003145,0.003862,0.003627,0.004061,0.004315,0.1835,0.004061,0.00081118,4.3452,0.002157,0.003026,0.01452,0.01116,0.002157,0.1684,0.02583,0.006127,0.004315,0.002827,4.2314,0.002161,1.8605,0.01462,8.6304,1.4143,0.05178,0.229,0.05219,0.3834,0.01549,0.1166,0.3085,0.03953,0.03236,0.1098,0.002077,0.004615,0.001775,0.01549,0.001775,0.006519,0.001775,0.01592,0.001775,0.1145,18.728,0.01622,0.4426,0.01706,0.05194,0.01565,0.2347,0.7812,31.5037,0.007448,0.001775,0.1684,3.0884,90.4847,0.2866,0.001775,0.3286,0.00153,0.2802,0.2456,0.1789,8.583,0.003145,1.0216,2.7696,0.00064642,0.001798,0.9455,26.9856,3.2523,0.7722,0.3207,0.03476,0.01015,0.02123,0.04039,8.5594,0.1236,3.918,6.5897,0.01757,0.07713,0.09136,0.03271,1.7277,0.04379,0.009456,0.1357,0.03476,0.8766,0.07576,0.02131,0.2695,0.003467,0.00082952,0.002157,0.008008,0.007455,0.1132,0.4036,0.009612,14.5178,0.007853,0.01018,0.2382,0.1445,2.1561,0.00809,0.017,0.02881,0.9459,0.02191,0.003026,0.001775,26.8309,1.2239,0.04415,0.9097,0.05088,5.2022,0.03476,0.07496,0.02694,0.007469,0.006539,0.004933,0.03329,0.01438,0.003145,0.06285,4.9181,0.06414,7.6068,0.002158,0.08842,24.1437,0.01007,48.809,0.2462,0.005665,1.3621,0.005825,0.001623,1.3621,0.2478,0.5294,0.03476,0.03607,0.3368
ANG,2.0517,48.9768,63.9247,258.9494,1.0,227.1372,65.4251,0.8134,1.0,0.9489,1.051,1.1173,48.1552,1.051,0.2101,1132.7719,0.5587,0.7801,3.8358,2.8824,0.5587,43.2103,6.873,1.6487,1.1173,0.7279,1114.1642,0.5592,481.7099,3.7964,2285.9467,374.7439,13.4078,59.2534,13.4492,99.2855,4.009,30.7726,81.6816,10.3061,8.3799,28.8581,0.5374,1.2253,0.4576,4.009,0.4576,1.6879,0.4576,4.3531,0.4576,30.2033,4941.257,4.2818,116.787,4.3871,13.7236,4.0488,61.8001,205.3286,8156.7734,1.9295,0.4576,43.2109,814.8511,23428.5706,74.5839,0.4576,86.7305,0.3961,71.7399,64.9716,46.3282,2264.5541,0.8133,264.3701,719.578,0.1674,0.4655,244.9092,7759.3228,842.1788,203.1364,84.6576,9.0047,2.6782,5.5217,10.5607,2233.292,32.636,1027.1777,1738.6548,4.5187,20.3511,23.9527,8.6082,457.4708,11.3371,2.4482,35.8952,9.0047,231.114,20.0294,5.5134,69.1364,0.8951,0.2148,0.5587,2.1167,1.9683,29.3148,106.4575,2.5028,3782.1763,2.0335,2.6549,63.0442,36.3022,584.9696,2.095,4.4501,7.5001,249.0883,5.6665,0.7801,0.4576,7079.1648,322.9158,11.6484,240.2354,13.1656,1388.3672,9.0047,19.4079,6.9759,1.9534,1.627,1.2988,8.5837,3.7842,0.8133,16.6385,1296.7245,16.7041,2014.2333,0.5587,23.2931,6250.9617,2.6061,12902.4606,65.1625,1.4871,352.4935,1.5084,0.4198,352.4935,64.1258,139.855,9.0048,9.5322,121.2717
AOA,0.009033,0.2156,0.2814,1.164,0.004403,1.0,0.2884,0.003536,0.004403,0.004184,0.004566,0.004919,0.2136,0.004566,0.0009248,5.058,0.00246,0.003434,0.01691,0.01269,0.00246,0.1902,0.03007,0.008414,0.004919,0.003164,4.9574,0.002428,2.1211,0.01647,10.0461,1.6463,0.05903,0.2574,0.05922,0.4371,0.01742,0.1357,0.3591,0.04557,0.03689,0.1281,0.002335,0.005372,0.00199,0.01742,0.00199,0.00745,0.00199,0.01853,0.00199,0.1333,21.8,0.01888,0.5152,0.01932,0.06045,0.01759,0.2732,0.9042,35.9174,0.008496,0.00199,0.1903,3.595,103.8095,0.3284,0.00199,0.3825,0.001744,0.3112,0.2878,0.2022,9.9908,0.003536,1.1486,3.1686,0.00073696,0.00205,1.0916,31.4121,3.7078,0.8989,0.3733,0.03911,0.01182,0.02493,0.04656,9.9634,0.1438,4.5607,7.6707,0.01989,0.08979,0.1063,0.03807,2.0111,0.04992,0.01078,0.1604,0.03911,1.0265,0.08819,0.02397,0.3044,0.003941,0.0009457,0.00246,0.009322,0.008678,0.1291,0.4698,0.0109,16.8992,0.008953,0.01169,0.2746,0.1703,2.5098,0.009223,0.01979,0.03354,1.1083,0.0246,0.003435,0.00199,31.2321,1.4247,0.05139,1.059,0.0572,6.0556,0.03911,0.08546,0.03076,0.008601,0.007612,0.005742,0.0378,0.01674,0.003536,0.07315,5.7605,0.07355,8.8546,0.00246,0.1029,27.4559,0.01148,56.8152,0.2866,0.006594,1.5315,0.006641,0.001849,1.5315,0.2786,0.6162,0.03911,0.04199,0.3921
ARS,0.03136,0.7485,0.9769,4.0367,0.01528,3.4679,1.0,0.01234,0.01528,0.01451,0.01593,0.01708,0.7408,0.01593,0.003211,17.5406,0.008539,0.01187,0.05863,0.04399,0.008539,0.6601,0.1043,0.02902,0.01708,0.0111,17.0809,0.008489,7.3614,0.05779,34.9399,5.7278,0.2049,0.8979,0.2053,1.5175,0.06075,0.4703,1.2483,0.1572,0.1281,0.4431,0.008144,0.01876,0.00697,0.06075,0.00697,0.02584,0.00697,0.06426,0.00697,0.4621,75.6,0.06545,1.7868,0.067,0.2097,0.06136,0.9474,3.1003,123.596,0.02941,0.00697,0.6601,12.467,360.0,1.1288,0.00697,1.3251,0.006054,1.1037,0.9916,0.7013,34.6471,0.01234,4.0063,10.8917,0.002559,0.007116,3.7566,109.0777,12.8724,3.1224,1.2938,0.1377,0.04098,0.08589,0.1614,34.5521,0.4988,15.8277,26.601,0.06901,0.3114,0.3702,0.1317,6.9742,0.1736,0.03741,0.5478,0.1377,3.5426,0.3061,0.08362,1.0562,0.0136,0.003283,0.008539,0.03233,0.03008,0.4467,1.6272,0.03798,57.809,0.03108,0.04027,0.9572,0.565,8.7037,0.03202,0.06902,0.1146,3.8182,0.08612,0.01187,0.00697,108.3095,4.9405,0.1782,3.6724,0.1995,21.2174,0.1377,0.2959,0.1067,0.02983,0.02642,0.01993,0.1308,0.05808,0.01234,0.254,19.8529,0.2518,30.7067,0.008539,0.356,95.2141,0.03925,197.2197,0.997,0.02287,5.3418,0.02306,0.006417,5.3418,0.9718,2.1373,0.1377,0.1456,1.3597
AUD,2.5225,60.3163,78.7427,317.9437,1.2295,282.8175,81.0537,1.0,1.2295,1.176,1.2921,1.3737,59.0817,1.2918,0.2583,1392.7333,0.6869,0.9593,4.752,3.5475,0.6869,53.1338,8.4681,1.9456,1.3737,0.8953,1369.8559,0.6872,594.3336,4.6613,2835.6545,464.9378,16.4846,72.8444,16.5603,122.0695,4.9286,38.1092,100.7486,12.7321,10.3029,35.4808,0.6608,1.509,0.5628,4.9286,0.5629,2.0869,0.5628,5.4357,0.5628,37.1347,6075.2361,5.3034,143.5887,5.3965,16.8898,4.9775,75.9828,252.0558,10026.4078,2.3755,0.5628,53.1369,1001.8529,28925.069,91.9839,0.5628,106.5673,0.487,88.2087,80.41,57.5164,2784.2512,1.0,325.0089,885.0653,0.2058,0.5724,302.429,9774.444,1035.4419,249.7384,104.0788,11.081,3.2928,6.7587,13.09,2737.05,40.9797,1259.8152,2137.6623,5.5572,25.0216,29.4269,10.573,562.7178,13.9544,3.013,43.8149,11.081,285.5241,24.664,6.783,85.0141,1.1003,0.2641,0.6869,2.6059,2.4203,36.0329,131.808,3.0741,4656.7605,2.5002,3.2641,77.6914,44.5014,727.8237,2.5757,5.4449,9.077,306.2521,6.9669,0.9593,0.5628,8703.7767,397.0224,14.3216,295.1186,16.1854,1727.227,11.081,23.8662,8.6277,2.4525,1.9578,1.5919,10.5815,4.6789,1.0,20.4601,1595.7239,20.6245,2477.648,0.687,28.8239,7742.6547,3.1956,15892.8758,79.9803,1.8211,433.3452,1.8545,0.5167,433.3452,78.8344,172.0732,11.0805,11.714,149.1044
AWG,2.0517,48.9768,63.9247,258.9494,1.0,227.1372,65.4251,0.8134,1.0,0.9489,1.051,1.1173,48.1552,1.051,0.2101,1132.7719,0.5587,0.7801,3.8358,2.8824,0.5587,43.2103,6.873,1.6487,1.1173,0.7279,1114.1642,0.5592,481.7099,3.7964,2285.9467,374.7439,13.4078,59.2534,13.4492,99.2855,4.009,30.7726,81.6816,10.3061,8.3799,28.8581,0.5374,1.2253,0.4576,4.009,0.4576,1.6879,0.4576,4.3531,0.4576,30.2033,4941.257,4.2818,116.787,4.3871,13.7236,4.0488,61.8001,205.3286,8156.7734,1.9295,0.4576,43.2109,814.8511,23428.5706,74.5839,0.4576,86.7305,0.3961,71.7399,64.9716,46.3282,2264.5541,0.8133,264.3701,719.578,0.1674,0.4655,244.9092,7759.3228,842.1788,203.1364,84.6576,9.0047,2.6782,5.5217,10.5607,2233.292,32.636,1027.1777,1738.6548,4.5187,20.3511,23.9527,8.6082,457.4708,11.3371,2.4482,35.8952,9.0047,231.114,20.0294,5.5134,69.1364,0.8951,0.2148,0.5587,2.1167,1.9683,29.3148,106.4575,2.5028,3782.1763,2.0335,2.6549,63.0442,36.3022,584.9696,2.095,4.4501,7.5001,249.0883,5.6665,0.7801,0.4576,7079.1648,322.9158,11.6484,240.2354,13.1656,1388.3672,9.0047,19.4079,6.9759,1.9534,1.627,1.2988,8.5837,3.7842,0.8133,16.6385,1296.7245,16.7041,2014.2333,0.5587,23.2931,6250.9617,2.6061,12902.4606,65.1625,1.4871,352.4935,1.5084,0.4198,352.4935,64.1258,139.855,9.0048,9.5322,121.2717
AZN,2.1621,51.5803,67.3227,275.7282,1.0538,238.9908,68.913,0.8504,1.0538,1.0,1.0998,1.1775,51.0477,1.0998,0.2214,1208.8167,0.5887,0.8192,4.0423,3.0458,0.5887,45.5564,7.189,1.9082,1.1775,0.7656,1177.1351,0.5851,507.4266,3.9813,2402.5073,393.63,14.1297,62.0044,14.1242,104.6312,4.1951,32.4604,86.0234,10.8704,8.8311,30.5393,0.5623,1.2878,0.4799,4.1951,0.4799,1.7823,0.4799,4.4288,0.4799,31.846,5210.0,4.5144,123.1387,4.6197,14.4531,4.2368,65.2882,214.3633,8613.3099,2.0281,0.4799,45.5564,859.1689,24797.2689,77.8713,0.4799,91.3201,0.4174,75.9619,68.3372,48.5542,2387.7177,0.8503,276.6441,755.5447,0.1764,0.4906,259.357,7516.8783,887.5235,215.1731,89.1579,9.4946,2.8238,5.9241,11.1293,2381.17,34.3754,1090.7318,1833.216,4.7583,21.458,25.5098,9.0762,480.6273,11.9992,2.5817,37.7536,9.4946,244.1335,21.0941,5.7642,72.8902,0.9375,0.2264,0.5887,2.2285,2.073,30.8128,112.4291,2.6169,4042.5992,2.143,2.7819,65.9081,39.8454,599.8158,2.2078,4.7563,7.8989,263.1313,5.9329,0.8192,0.4799,7464.1834,340.4784,12.2819,253.0846,13.7769,1462.152,9.4946,20.4099,7.3598,2.0591,1.8208,1.3731,9.0414,4.0024,0.8503,17.5328,1368.1723,17.3345,2116.1657,0.5887,24.6171,6569.6395,2.7465,13591.0087,68.7042,1.5762,368.8588,1.5896,0.4424,368.8588,67.103,147.2893,9.4948,10.0347,93.705
