,beneficio %,rutas
0,0.002354210000010681,"['EUR', 'YER', 'EUR']"
1,0.001835410999939668,"['EUR', 'MNT', 'EUR']"
2,0.01100954000001764,"['EUR', 'SDG', 'EUR']"
3,0.03843200000002156,"['EUR', 'MOP', 'EUR']"
4,0.005798154239999853,"['EUR', 'ZAR', 'OMR', 'EUR']"
5,0.007594999999982477,"['EUR', 'MKD', 'EUR']"
6,0.09395169385757463,"['EUR', 'UGX', 'FJD', 'EUR']"
7,0.01108699999998741,"['EUR', 'BHD', 'EUR']"
8,5.400000000488347e-05,"['EUR', 'BGN', 'EUR']"
9,0.01249599999999518,"['EUR', 'BSD', 'DKK']"
10,0.002549817600039361,"['EUR', 'SLL', 'EUR']"
11,0.1009303952000495,"['EUR', 'PAB', 'PHP', 'EUR']"
12,0.00827991000003081,"['EUR', 'PKR', 'EUR']"
13,0.002025499999991354,"['EUR', 'CZK', 'EUR']"
14,0.008043830300086263,"['EUR', 'VND', 'EUR']"
15,0.04126383999993877,"['EUR', 'LKR', 'EUR']"
16,0.01459219400006262,"['EUR', 'DOP', 'GBP', 'EUR']"
17,0.007030000000018966,"['EUR', 'BOB', 'FOK']"
18,0.009000000000014552,"['EUR', 'STN', 'EUR']"
19,0.003055050000000392,"['EUR', 'RSD', 'EUR']"
20,0.08633912899997931,"['EUR', 'QAR', 'WST', 'EUR']"
21,0.1309000000000227,"['EUR', 'TND', 'EUR']"
22,0.008999999999992347,"['EUR', 'BRL', 'EUR']"
23,0.1215895359679919,"['EUR', 'KID', 'LRD', 'EUR']"
24,0.008237999999982648,"['EUR', 'TRY', 'EUR']"
25,0.007683999999996693,"['EUR', 'HNL', 'EUR']"
26,0.01831756399999218,"['EUR', 'HRK', 'CAD', 'EUR']"
27,0.3552494229067227,"['EUR', 'QAR', 'MZN', 'LSL', 'EUR']"
28,0.02481143999999436,"['EUR', 'HUF', 'EUR']"
29,1.018420940359976,"['EUR', 'VUV', 'LKR', 'EUR']"
30,0.005931199999964498,"['EUR', 'MDL', 'EUR']"
31,0.2981492240000216,"['EUR', 'SGD', 'MUR', 'EUR']"
32,0.004846969999960926,"['EUR', 'CRC', 'EUR']"
33,0.4078709380039625,"['EUR', 'NGN', 'MVR', 'EUR']"
34,0.2232101970799594,"['EUR', 'DJF', 'MZN', 'EUR']"
35,0.08233251979998801,"['EUR', 'TOP', 'BSD', 'EUR']"
36,0.08633270240003821,"['EUR', 'DOP', 'MYR', 'EUR']"
37,0.001293874999963585,"['EUR', 'IQD', 'EUR']"
38,0.3845579999999904,"['EUR', 'BYN', 'EUR']"
39,1.280045552600062,"['EUR', 'MGA', 'EUR']"
40,1.14658699518031,"['EUR', 'VUV', 'SLL', 'EUR']"
41,0.008582959999925421,"['EUR', 'SSP', 'EUR']"
42,0.001212999999999909,"['EUR', 'EGP', 'EUR']"
43,0.08465477613996963,"['EUR', 'NZD', 'NIO', 'EUR']"
44,0.01519526000000049,"['EUR', 'SOS', 'EUR']"
45,0.3523343925287081,"['EUR', 'NGN', 'KRW', 'EUR']"
46,1.377377504999933,"['EUR', 'AOA', 'UAH', 'EUR']"
47,0.05435000000002521,"['EUR', 'TTD', 'EUR']"
48,0.007460000000003575,"['EUR', 'ILS', 'EUR']"
49,0.008904748400007101,"['EUR', 'LYD', 'AWG', 'EUR']"
50,4.722300004367241e-05,"['EUR', 'RWF', 'EUR']"
51,0.1346031620000243,"['EUR', 'THB', 'BWP', 'EUR']"
52,1.22434284534878,"['EUR', 'KES', 'KHR', 'EUR']"
53,0.09344836485696284,"['EUR', 'TOP', 'LBP', 'EUR']"
54,0.0009319999999979345,"['EUR', 'CHF', 'EUR']"
55,0.004188981200003994,"['EUR', 'CVE', 'XDR', 'EUR']"
56,0.01392560000001986,"['EUR', 'PHP', 'EUR']"
57,0.00343499999999608,"['EUR', 'BZD', 'EUR']"
58,0.3498891495800072,"['EUR', 'KZT', 'KYD', 'EUR']"
59,0.4452560483316992,"['EUR', 'CNY', 'VND', 'EUR']"
60,0.005365459999984168,"['EUR', 'LRD', 'EUR']"
61,2.129750700020039,"['EUR', 'ETB', 'CHF', 'EUR']"
62,0.009593450000022763,"['EUR', 'GYD', 'EUR']"
63,0.002592199999962297,"['EUR', 'ISK', 'EUR']"
64,1.154101829846033,"['EUR', 'VUV', 'GYD', 'EUR']"
65,0.04062771164006218,"['EUR', 'ARS', 'FKP', 'EUR']"
66,0.03060599999999969,"['EUR', 'KGS', 'EUR']"
67,0.004519999999974544,"['EUR', 'DKK', 'ETB']"
68,0.0001218000000191566,"['EUR', 'ERN', 'EUR']"
69,0.01671451999998297,"['EUR', 'AMD', 'EUR']"
70,0.02844500000003247,"['EUR', 'NOK', 'EUR']"
71,0.00366479999995839,"['EUR', 'XAF', 'NIO']"
72,0.001775999999975575,"['EUR', 'MRU', 'EUR']"
73,0.08534611360999644,"['EUR', 'MVR', 'BND', 'EUR']"
74,0.0006366065000040777,"['EUR', 'TZS', 'EUR']"
75,0.2355724664000247,"['EUR', 'TVD', 'CZK', 'EUR']"
76,0.001016500000017295,"['EUR', 'SEK', 'EUR']"
77,0.0005310704000338617,"['EUR', 'SYP', 'EUR']"
78,0.9763100191999996,"['EUR', 'ZMW', 'TOP', 'EUR']"
79,0.01298149310007268,"['EUR', 'MMK', 'EUR']"
80,0.01596544896502738,"['EUR', 'BDT', 'JPY', 'EUR']"
81,0.03641265800000681,"['EUR', 'GGP', 'THB', 'EUR']"
82,0.5806115266399514,"['EUR', 'MWK', 'NGN', 'EUR']"
83,0.240549503707399,"['EUR', 'COP', 'QAR', 'EUR']"
84,0.01021999999999412,"['EUR', 'WST', 'EUR']"
85,0.01705373999998372,"['EUR', 'KMF', 'EUR']"
86,0.2303488992500657,"['EUR', 'ETB', 'VUV', 'EUR']"
87,0.09749315986922191,"['EUR', 'IRR', 'BWP', 'EUR']"
88,0.2742609440001598,"['EUR', 'LAK', 'EUR']"
89,3.260000001059637e-05,"['EUR', 'SCR', 'EUR']"
90,0.008019999999997474,"['EUR', 'USD', 'EUR']"
91,0.0007499999999938112,"['EUR', 'GEL', 'EUR']"
92,0.7406712895999812,"['EUR', 'AOA', 'DZD', 'EUR']"
93,0.4150261129568289,"['EUR', 'AUD', 'AZN', 'BBD', 'EUR']"
94,0.4213900267992843,"['EUR', 'COP', 'GYD', 'EUR']"
95,0.004484624000022919,"['EUR', 'PEN', 'GBP', 'EUR']"
96,0.1278026586801095,"['EUR', 'CLP', 'XCD', 'EUR']"
97,0.002571299832321294,"['EUR', 'GNF', 'SLL', 'EUR']"
98,0.03383000000001246,"['EUR', 'HKD', 'EUR']"
99,0.03506551778740263,"['EUR', 'COP', 'FKP', 'EUR']"
100,0.006520489999983781,"['EUR', 'HTG', 'EUR']"
101,0.6486618760000118,"['EUR', 'MWK', 'USD', 'EUR']"
102,0.1642820031476644,"['EUR', 'CDF', 'MVR', 'EUR']"
103,0.3653041733364226,"['EUR', 'IRR', 'AWG', 'EUR']"
104,0.06217930569993868,"['EUR', 'IDR', 'EUR']"
105,0.0366619999999207,"['EUR', 'BTN', 'EUR']"
106,1.387209423499991,"['EUR', 'AOA', 'VES', 'EUR']"
107,0.03195600000001075,"['EUR', 'SBD', 'EUR']"
108,0.06450456320001852,"['EUR', 'KYD', 'AUD', 'EUR']"
109,0.03847999999995189,"['EUR', 'INR', 'EUR']"
110,0.764787420799995,"['EUR', 'TOP', 'SBD', 'EUR']"
111,0.7214194347200165,"['EUR', 'ETB', 'GEL', 'EUR']"
112,0.01325999999999272,"['EUR', 'TMT', 'EUR']"
113,0.0795356287999649,"['EUR', 'FKP', 'MUR', 'EUR']"
114,0.08831349246563036,"['EUR', 'GMD', 'MVR', 'ZAR', 'EUR']"
115,0.3078531100799031,"['EUR', 'ZWL', 'AWG', 'EUR']"
116,0.02682799999997876,"['EUR', 'MYR', 'EUR']"
117,0.00402938811989717,"['EUR', 'XAF', 'ZWL', 'EUR']"
118,0.01331792815997268,"['EUR', 'XDR', 'HNL', 'EUR']"
119,0.001165199999997313,"['EUR', 'FOK', 'DZD']"
120,0.0002160000000639428,"['EUR', 'XPF', 'EUR']"
121,0.0002979661999802374,"['EUR', 'LBP', 'EUR']"
122,0.001206714500034956,"['EUR', 'HRK', 'THB', 'EUR']"
123,0.01060399999999184,"['EUR', 'KWD', 'EUR']"
124,0.01212300000001942,"['EUR', 'UYU', 'EUR']"
125,2.466061359200067,"['EUR', 'ETB', 'GIP', 'EUR']"
126,0.03089600000003578,"['EUR', 'GTQ', 'EUR']"
127,0.3619739503999408,"['EUR', 'DZD', 'INR', 'EUR']"
128,0.0005760200000093363,"['EUR', 'BIF', 'EUR']"
129,0.006082999999978966,"['EUR', 'ANG', 'EUR']"
130,0.04619519999999877,"['EUR', 'RUB', 'EUR']"
131,0.06503616170943083,"['EUR', 'MXN', 'IMP', 'KGS', 'EUR']"
132,0.009707699999994546,"['EUR', 'CUP', 'EUR']"
133,0.01283240960001653,"['EUR', 'LSL', 'BGN', 'EUR']"
134,0.09812757335996292,"['EUR', 'NZD', 'HNL', 'EUR']"
135,0.1697587750520313,"['EUR', 'XDR', 'JPY', 'EUR']"
136,0.1506155264000109,"['EUR', 'PEN', 'XCD', 'EUR']"
137,0.03877619999994586,"['EUR', 'AFN', 'EUR']"
138,4.413715734658719,"['EUR', 'GHS', 'COP', 'EUR']"
139,0.05891986988002529,"['EUR', 'XOF', 'KID', 'EUR']"
140,0.3327579862426155,"['EUR', 'UGX', 'PAB', 'EUR']"
141,0.00809062001301264,"['EUR', 'CVE', 'VND', 'EUR']"
142,0.8518326368000206,"['EUR', 'GMD', 'RUB', 'EUR']"
143,0.1243028888199937,"['EUR', 'ZMW', 'ZAR', 'EUR']"
144,0.001012421726165336,"['EUR', 'COP', 'BGN', 'EUR']"
145,0.3069464110000197,"['EUR', 'NIO', 'USD', 'EUR']"
146,0.2240353434320053,"['EUR', 'MXN', 'LRD', 'EUR']"
147,0.00183049999997742,"['EUR', 'SRD', 'EUR']"
148,0.002544000000015423,"['EUR', 'PLN', 'EUR']"
149,0.01623632000000708,"['EUR', 'SZL', 'USD', 'EUR']"
150,0.4161119983999928,"['EUR', 'AZN', 'SRD', 'EUR']"
151,0.03274361519998159,"['EUR', 'NGN', 'RON', 'EUR']"
152,0.002012460400058202,"['EUR', 'KRW', 'EUR']"
153,0.002342000000044031,"['EUR', 'BWP', 'EUR']"
154,0.005090640000093849,"['EUR', 'JMD', 'EUR']"
155,0.6274739383999917,"['EUR', 'AZN', 'HTG', 'EUR']"
156,0.06320689400001189,"['EUR', 'RON', 'USD', 'EUR']"
